"Story","Title","Result","Date","Stability","Duration (s)"
"My Skills in Dashboard","Verify My Skills are updating with Valid Data","PENDING","2022-12-16T10:21:10.244384+05:30[Asia/Calcutta]","0.0","0.02"
"Perform actions on Organization Structure of MIS website","Search an employee and get their designation","PENDING","2022-12-16T10:21:10.4788279+05:30[Asia/Calcutta]","0.0","0.0"
"Perform actions on Organization Structure of MIS website","Count total number of seniors visible by default","PENDING","2022-12-16T10:21:10.4884734+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on Organization Structure of MIS website","Expand and compress a senior with max reportees","PENDING","2022-12-16T10:21:10.5024701+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on Organization Structure of MIS website","Zoom on a card by double clicking it","PENDING","2022-12-16T10:21:10.5124079+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on Organization Structure of MIS website","Zoom in and Zoom out the organisation structure","PENDING","2022-12-16T10:21:10.5244329+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on TimeSheet of MIS website","Verify total tabs and active tab","PENDING","2022-12-16T10:21:10.9153082+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on TimeSheet of MIS website","Search a text using search box","PENDING","2022-12-16T10:21:10.9262939+05:30[Asia/Calcutta]","0.0","0.04"
"Perform actions on TimeSheet of MIS website","Verify Save button is present and working","PENDING","2022-12-16T10:21:10.9682041+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on TimeSheet of MIS website","Open previous and next week timesheet","PENDING","2022-12-16T10:21:11.010631+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on TimeSheet of MIS website","Copy timesheet from a week","PENDING","2022-12-16T10:21:11.0255902+05:30[Asia/Calcutta]","0.0","0.02"
"Perform actions on TimeSheet of MIS website","Add a duplicate task template","PENDING","2022-12-16T10:21:11.1818707+05:30[Asia/Calcutta]","0.0","0.02"
"Perform actions on TimeSheet of MIS website","Edit an existing task template","PENDING","2022-12-16T10:21:11.2051896+05:30[Asia/Calcutta]","0.0","0.14"
"Perform actions on TimeSheet of MIS website","Verify rejecting a delete action for a task template","PENDING","2022-12-16T10:21:11.3473908+05:30[Asia/Calcutta]","0.0","0.02"
