"Story","Title","Result","Date","Stability","Duration (s)"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","On Knowledge Base navigate to view documents and verify add New Documents Tag Icon Present and functional","FAILURE","2022-10-15T20:57:21.44+05:30[Asia/Calcutta]","0.0","20.48"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","On Knowledge Base add new document and check how these are  working","SUCCESS","2022-10-15T20:57:41.94+05:30[Asia/Calcutta]","0.0","47.32"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","click on checking the functionality of adding folder","SUCCESS","2022-10-15T20:58:29.277+05:30[Asia/Calcutta]","0.0","29.1"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Knowledge base view documents add new folder testcase to check folder functionality","FAILURE","2022-10-15T20:58:58.392+05:30[Asia/Calcutta]","0.0","28.61"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check folder functionality add folder without name","SUCCESS","2022-10-15T20:59:27.03+05:30[Asia/Calcutta]","0.0","26.99"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Check duplicate folder functionality by adding one duplicate folder","SUCCESS","2022-10-15T20:59:54.029+05:30[Asia/Calcutta]","0.0","30.55"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check right click working","SUCCESS","2022-10-15T21:00:24.589+05:30[Asia/Calcutta]","0.0","20.7"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check add new document after right click invalid doc type","ERROR","2022-10-15T21:00:45.312+05:30[Asia/Calcutta]","0.0","42.5"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Upload a valid document after filling all the fields","ERROR","2022-10-15T21:01:27.823+05:30[Asia/Calcutta]","0.0","43.32"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Filling all the fields and no documents attached","FAILURE","2022-10-15T21:02:11.16+05:30[Asia/Calcutta]","0.0","20.84"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Upload a file without filling all the fields","ERROR","2022-10-15T21:02:32.006+05:30[Asia/Calcutta]","0.0","42.59"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Knowledge base view document check delete option from menulist","SUCCESS","2022-10-15T21:03:14.607+05:30[Asia/Calcutta]","0.0","38.09"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Check rename functionality for folder on right click","ERROR","2022-10-15T21:03:52.708+05:30[Asia/Calcutta]","0.0","20.61"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify menu list opening for subfolders","SUCCESS","2022-10-15T21:04:13.325+05:30[Asia/Calcutta]","0.0","22.33"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check refresh button in view documents tab","SUCCESS","2022-10-15T21:04:35.666+05:30[Asia/Calcutta]","0.0","17.91"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check number of rows dropdown working or not","ERROR","2022-10-15T21:04:54.257+05:30[Asia/Calcutta]","0.0","17.02"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify search bar functionality on view documents page","SUCCESS","2022-10-15T21:05:12.042+05:30[Asia/Calcutta]","0.0","83.13"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Check navigation on view document page","SUCCESS","2022-10-15T21:06:35.202+05:30[Asia/Calcutta]","0.0","39.84"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify clicks of previous button and next page button on first page.","SUCCESS","2022-10-15T21:07:15.059+05:30[Asia/Calcutta]","0.0","40.13"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","goto View shared documents and verify view functionality","FAILURE","2022-10-15T21:07:55.193+05:30[Asia/Calcutta]","0.0","15.99"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check the sorting functionality in view shared documents","FAILURE","2022-10-15T21:08:11.902+05:30[Asia/Calcutta]","0.0","18.77"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check the dropdown on view shared documents select rows","ERROR","2022-10-15T21:08:31.364+05:30[Asia/Calcutta]","0.0","17.51"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check search bar functionality in view shared documents","FAILURE","2022-10-15T21:08:49.533+05:30[Asia/Calcutta]","0.0","74.45"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check next button functionality at last page in view shared documents","ERROR","2022-10-15T21:10:03.992+05:30[Asia/Calcutta]","0.0","16.73"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check previous button working while not on first page","SUCCESS","2022-10-15T21:10:21.458+05:30[Asia/Calcutta]","0.0","18.48"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check the navigation buttons are working on view shared documents","SUCCESS","2022-10-15T21:10:40.611+05:30[Asia/Calcutta]","0.0","41.84"
