"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Dashboard Profile module Scenarios","User Updates Mobile and Extn Number","SUCCESS","2022-12-17T21:12:23.2284643+05:30[Asia/Calcutta]","0.0","46.17"
"MIS Dashboard Profile module Scenarios","User enters invalid Phone number","SUCCESS","2022-12-17T21:13:09.4513223+05:30[Asia/Calcutta]","0.0","35.79"
"MIS Dashboard Profile module Scenarios","User not fills a field in Mobile Number section","SUCCESS","2022-12-17T21:13:45.286677+05:30[Asia/Calcutta]","0.0","31.85"
"MIS Dashboard Profile module Scenarios","User not fills a field in Extension number section","SUCCESS","2022-12-17T21:14:17.1738541+05:30[Asia/Calcutta]","0.0","31.63"
"MIS Dashboard Profile module Scenarios","User enters invalid Extension Number","SUCCESS","2022-12-17T21:14:48.8278025+05:30[Asia/Calcutta]","0.0","35.13"
"MIS Dashboard Profile module Scenarios","User enters invalid Pin code","ERROR","2022-12-17T21:15:23.9959203+05:30[Asia/Calcutta]","0.0","6.13"
"MIS Dashboard Profile module Scenarios","User enters Incorrect Password","SUCCESS","2022-12-17T21:15:30.1979676+05:30[Asia/Calcutta]","0.0","48.66"
"MIS Dashboard Profile module Scenarios","User enters Different Password in Confirm Password","SUCCESS","2022-12-17T21:16:18.8713123+05:30[Asia/Calcutta]","0.0","48.09"
"MIS Dashboard Profile module Scenarios","User Changes Password Successfully","SUCCESS","2022-12-17T21:17:07.0014728+05:30[Asia/Calcutta]","0.0","42.19"
"MIS Dashboard Profile module Scenarios","User not fills a field in Change Password section","SUCCESS","2022-12-17T21:17:49.2276383+05:30[Asia/Calcutta]","0.0","44.05"
"MIS Dashboard Profile module Scenarios","User Updates Address","SUCCESS","2022-12-17T21:18:33.3034422+05:30[Asia/Calcutta]","0.0","43.4"
"MIS Dashboard Profile module Scenarios","User leaves Pin Code field blank","SUCCESS","2022-12-17T21:19:16.7314836+05:30[Asia/Calcutta]","0.0","41.79"
"MIS Dashboard Profile module Scenarios","User applies for lunch for already applied date","SUCCESS","2022-12-17T21:20:45.3003666+05:30[Asia/Calcutta]","0.0","42.44"
"MIS Dashboard Profile module Scenarios","User leave a field blank in Apply lunch","SUCCESS","2022-12-17T21:21:27.7615512+05:30[Asia/Calcutta]","0.0","27.74"
"MIS Dashboard Profile module Scenarios","Download Card","SUCCESS","2022-12-17T21:58:07.2402631+05:30[Asia/Calcutta]","0.0","36.14"
"MIS Dashboard Profile module Scenarios","User applies for lunch","ERROR","2022-12-17T22:24:09.1273968+05:30[Asia/Calcutta]","0.0","32.38"
