"Story","Title","Result","Date","Stability","Duration (s)"
"Reimbursement","Reimbursement Add new request function","ERROR","2022-10-15T21:56:19.073+05:30[Asia/Calcutta]","0.0","42.24"
"Reimbursement","Reimbursement main page validations","SUCCESS","2022-10-15T21:57:01.325+05:30[Asia/Calcutta]","0.0","49.88"
"Reimbursement","Verify if search box is working","SUCCESS","2022-10-15T21:57:51.219+05:30[Asia/Calcutta]","0.0","35.14"
"Reimbursement","Verify if search box is working for no records found","SUCCESS","2022-10-15T21:58:26.378+05:30[Asia/Calcutta]","0.0","31.97"
"Reimbursement","Verify we are able to check if warning pop up is visible","ERROR","2022-10-15T21:58:58.366+05:30[Asia/Calcutta]","0.0","42.25"
"Reimbursement","Verify warning for more than one reimbursement in a month","ERROR","2022-10-15T21:59:40.641+05:30[Asia/Calcutta]","0.0","43.49"
"Reimbursement","Verify total amount is correct","SUCCESS","2022-10-15T22:00:24.136+05:30[Asia/Calcutta]","0.0","31.87"
"Reimbursement","Validation Pdf export","SUCCESS","2022-10-15T22:00:56.026+05:30[Asia/Calcutta]","0.0","44.09"
"Reimbursement","Validate if are able to navigate back to reimbursement main page","SUCCESS","2022-10-15T22:01:40.13+05:30[Asia/Calcutta]","0.0","35.37"
"Reimbursement","Validation for action button visibility","SUCCESS","2022-10-15T22:02:15.511+05:30[Asia/Calcutta]","0.0","34.07"
"Reimbursement","Validation for cancel button functionality","FAILURE","2022-10-15T22:02:49.598+05:30[Asia/Calcutta]","0.0","41.5"
"Reimbursement","Reimbursement Add new request function save draft functionality","ERROR","2022-10-15T22:03:31.13+05:30[Asia/Calcutta]","0.0","80.34"
"Reimbursement","Verify if Copy functionality is working properly","SUCCESS","2022-10-15T22:04:52.513+05:30[Asia/Calcutta]","0.0","32.12"
"Reimbursement","Verify wrong extension warning pop up is visible","ERROR","2022-10-15T22:05:24.649+05:30[Asia/Calcutta]","0.0","43.25"
