"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Navigate to Leave Management > LWP Change Request tab","SUCCESS","2022-10-13T17:26:58.405+05:30[Asia/Calcutta]","0.0","55.84"
"MIS Leave Management Activities","Verify Date, Type of leave and Reason fields are mandatory","SUCCESS","2022-10-13T17:27:54.271+05:30[Asia/Calcutta]","0.0","59.75"
"MIS Leave Management Activities","Verify fields are Auto Populated by default","SUCCESS","2022-10-12T20:05:56.611+05:30[Asia/Calcutta]","0.0","55.92"
"MIS Leave Management Activities","Verify From,Till and Reason fields are mandatory","SUCCESS","2022-10-12T20:06:52.551+05:30[Asia/Calcutta]","0.0","44.27"
"MIS Leave Management Activities","Verify Total Working Days tooltip","ERROR","2022-10-12T20:08:21.455+05:30[Asia/Calcutta]","0.0","44.52"
"MIS Leave Management Activities","Navigate to Leave Management > Apply tab","SUCCESS","2022-10-13T17:28:54.047+05:30[Asia/Calcutta]","0.0","50.67"
"MIS Leave Management Activities","Enter Reason for Out Duty","SUCCESS","2022-10-13T17:43:27.74+05:30[Asia/Calcutta]","0.0","58.05"
"MIS Leave Management Activities","Navigate to Policy > View Policies","FAILURE","2022-10-13T17:52:49.308+05:30[Asia/Calcutta]","0.0","36.17"
"MIS Leave Management Activities","Verify Data is present in Policies tab","FAILURE","2022-10-13T17:53:25.495+05:30[Asia/Calcutta]","0.0","37.22"
"MIS Leave Management Activities","Verify Number of Entries displayed","FAILURE","2022-10-13T17:54:02.884+05:30[Asia/Calcutta]","0.0","37.12"
"MIS Leave Management Activities","Enter Policy Name in Search Box","FAILURE","2022-10-13T17:54:40.025+05:30[Asia/Calcutta]","0.0","36.49"
"MIS Leave Management Activities","Enter Invalid Policy Name in Search Box","FAILURE","2022-10-13T17:55:16.571+05:30[Asia/Calcutta]","0.0","45.02"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Change Request","SUCCESS","2022-10-13T17:56:32.21+05:30[Asia/Calcutta]","0.0","45.23"
"MIS Leave Management Activities","Verify Date Range field is present for Change Request","SUCCESS","2022-10-13T17:57:17.457+05:30[Asia/Calcutta]","0.0","45.43"
"MIS Leave Management Activities","Enter Invalid Date Range for Change Request","SUCCESS","2022-10-13T17:58:02.915+05:30[Asia/Calcutta]","0.0","50.18"
"MIS Leave Management Activities","Enter Valid Date Range for Change Request","SUCCESS","2022-10-13T17:58:53.131+05:30[Asia/Calcutta]","0.0","60.34"
"MIS Leave Management Activities","Click on Excel Option for Change Request","SUCCESS","2022-10-13T18:02:49.377+05:30[Asia/Calcutta]","0.0","59.99"
"MIS Leave Management Activities","Verify PDF option for Change Request","SUCCESS","2022-10-13T18:03:49.388+05:30[Asia/Calcutta]","0.0","59.01"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Comp Off","SUCCESS","2022-10-13T18:04:48.416+05:30[Asia/Calcutta]","0.0","45.74"
"MIS Leave Management Activities","Verify Date Range field is present for Comp Off Tab","SUCCESS","2022-10-13T18:05:34.162+05:30[Asia/Calcutta]","0.0","45.44"
"MIS Leave Management Activities","Enter Invalid Date Range for Comp Off Tab","SUCCESS","2022-10-13T18:06:19.623+05:30[Asia/Calcutta]","0.0","49.49"
"MIS Leave Management Activities","Enter Valid Date Range for Comp Off Tab","SUCCESS","2022-10-13T18:07:09.141+05:30[Asia/Calcutta]","0.0","59.23"
"MIS Leave Management Activities","Click on Export Options Option for Comp Off Tab","SUCCESS","2022-10-13T18:08:08.393+05:30[Asia/Calcutta]","0.0","55.18"
"MIS Leave Management Activities","Click on Print Option for Comp Off Tab","SUCCESS","2022-10-13T18:09:03.584+05:30[Asia/Calcutta]","0.0","58.98"
"MIS Leave Management Activities","Click on Copy Option for Comp Off Tab","SUCCESS","2022-10-13T18:10:02.613+05:30[Asia/Calcutta]","0.0","58.38"
"MIS Leave Management Activities","Click on Excel Option for Comp Off Tab","SUCCESS","2022-10-13T18:11:01.009+05:30[Asia/Calcutta]","0.0","59.92"
"MIS Leave Management Activities","Verify PDF option for Comp Off Tab","SUCCESS","2022-10-13T18:12:00.939+05:30[Asia/Calcutta]","0.0","60.01"
"MIS Leave Management Activities","Enter Comp Off Period Name in Search Box for Comp Off Tab","SUCCESS","2022-10-13T18:13:00.958+05:30[Asia/Calcutta]","0.0","46.89"
"MIS Leave Management Activities","Expand Details of Comp Off","SUCCESS","2022-10-13T18:14:51.31+05:30[Asia/Calcutta]","0.0","50.12"
"MIS Leave Management Activities","Enter Leave Period Name in Search Box for Leave Tab","SUCCESS","2022-10-13T18:23:26.393+05:30[Asia/Calcutta]","0.0","44.09"
"MIS Leave Management Activities","Sort columns for Leave Tab","SUCCESS","2022-10-13T18:24:10.519+05:30[Asia/Calcutta]","0.0","58.7"
"MIS Leave Management Activities","Expand Details for Out Duty/Tour","FAILURE","2022-10-13T14:34:33.974+05:30[Asia/Calcutta]","0.0","53.44"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Out Duty/Tour","ERROR","2022-10-13T18:28:39.261+05:30[Asia/Calcutta]","0.0","43.16"
"MIS Leave Management Activities","Verify Date Range field is present for Out Duty/Tour","SUCCESS","2022-10-13T18:29:22.436+05:30[Asia/Calcutta]","0.0","42.98"
"MIS Leave Management Activities","Enter Invalid Date Range for Out Duty/Tour","ERROR","2022-10-13T18:30:05.43+05:30[Asia/Calcutta]","0.0","42.83"
"MIS Leave Management Activities","Enter Valid Date Range for Out Duty/Tour","FAILURE","2022-10-13T18:30:48.274+05:30[Asia/Calcutta]","0.0","41.84"
"MIS Leave Management Activities","Click on Print Option for Out Duty/Tour","ERROR","2022-10-13T18:31:52.112+05:30[Asia/Calcutta]","0.0","52.25"
"MIS Leave Management Activities","Click on Copy Option for Out Duty/Tour","SUCCESS","2022-10-13T18:32:44.377+05:30[Asia/Calcutta]","0.0","56.19"
"MIS Leave Management Activities","Click on Excel Option for Out Duty/Tour","SUCCESS","2022-10-13T18:33:40.577+05:30[Asia/Calcutta]","0.0","56.09"
"MIS Leave Management Activities","Verify PDF option for Out Duty/Tour","FAILURE","2022-10-13T18:34:36.693+05:30[Asia/Calcutta]","0.0","45.85"
"MIS Leave Management Activities","Sort columns for Out Duty/Tour","SUCCESS","2022-10-13T18:35:22.55+05:30[Asia/Calcutta]","0.0","52.18"
"MIS Leave Management Activities","Enter Out Duty/Tour Period in Search Box for Out Duty/Tour","SUCCESS","2022-10-13T18:36:14.735+05:30[Asia/Calcutta]","0.0","44.51"
"MIS Leave Management Activities","Click on View button for Out Duty/Tour","FAILURE","2022-10-13T18:37:43.245+05:30[Asia/Calcutta]","0.0","50.82"
"MIS Leave Management Activities","Verify Date in View Window for Out Duty/Tour","FAILURE","2022-10-13T18:38:34.097+05:30[Asia/Calcutta]","0.0","51.41"
"MIS Leave Management Activities","Search in View Window for Out Duty/Tour","FAILURE","2022-10-13T18:39:25.511+05:30[Asia/Calcutta]","0.0","51.78"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Work From Home","SUCCESS","2022-10-13T18:40:17.316+05:30[Asia/Calcutta]","0.0","42.67"
"MIS Leave Management Activities","Verify Date Range field is present for WFH Tab","SUCCESS","2022-10-13T18:41:00.005+05:30[Asia/Calcutta]","0.0","42.49"
"MIS Leave Management Activities","Enter Invalid Date Range for WFH Tab","ERROR","2022-10-13T18:41:42.512+05:30[Asia/Calcutta]","0.0","43.78"
"MIS Leave Management Activities","Enter Valid Date Range for WFH Tab","ERROR","2022-10-13T18:42:26.31+05:30[Asia/Calcutta]","0.0","43.41"
"MIS Leave Management Activities","Click on Export Options Option for WFH Tab","SUCCESS","2022-10-13T18:43:09.73+05:30[Asia/Calcutta]","0.0","51.84"
"MIS Leave Management Activities","Click on Print Option for WFH Tab","FAILURE","2022-10-13T18:44:01.589+05:30[Asia/Calcutta]","0.0","42.12"
"MIS Leave Management Activities","Click on Copy Option for WFH Tab","SUCCESS","2022-10-13T18:44:43.73+05:30[Asia/Calcutta]","0.0","55.87"
"MIS Leave Management Activities","Click on Excel Option for WFH Tab","ERROR","2022-10-13T18:45:39.606+05:30[Asia/Calcutta]","0.0","42.94"
"MIS Leave Management Activities","Verify PDF option for WFH Tab","SUCCESS","2022-10-13T18:46:22.56+05:30[Asia/Calcutta]","0.0","56.19"
"MIS Leave Management Activities","Verify Number of Entries displayed for WFH Tab","SUCCESS","2022-10-13T18:47:18.786+05:30[Asia/Calcutta]","0.0","53.27"
"MIS Leave Management Activities","Enter WFH Period Name in Search Box for WFH Tab","SUCCESS","2022-10-13T18:48:12.08+05:30[Asia/Calcutta]","0.0","47.1"
"MIS Leave Management Activities","Sort columns for WFH Tab","SUCCESS","2022-10-13T18:48:59.187+05:30[Asia/Calcutta]","0.0","52.34"
"MIS Leave Management Activities","Page Next for WFH Tab","SUCCESS","2022-10-13T18:49:51.535+05:30[Asia/Calcutta]","0.0","53.44"
