"Story","Title","Result","Date","Stability","Duration (s)"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","On Knowledge Base add new document and check how these are  working","SUCCESS","2022-10-15T20:57:41.94+05:30[Asia/Calcutta]","0.0","47.32"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","click on checking the functionality of adding folder","SUCCESS","2022-10-15T20:58:29.277+05:30[Asia/Calcutta]","0.0","29.1"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check folder functionality add folder without name","SUCCESS","2022-10-15T20:59:27.03+05:30[Asia/Calcutta]","0.0","26.99"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Check duplicate folder functionality by adding one duplicate folder","SUCCESS","2022-10-15T20:59:54.029+05:30[Asia/Calcutta]","0.0","30.55"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check right click working","SUCCESS","2022-10-15T21:00:24.589+05:30[Asia/Calcutta]","0.0","20.7"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Knowledge base view document check delete option from menulist","SUCCESS","2022-10-15T21:03:14.607+05:30[Asia/Calcutta]","0.0","38.09"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify menu list opening for subfolders","SUCCESS","2022-10-15T21:04:13.325+05:30[Asia/Calcutta]","0.0","22.33"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check refresh button in view documents tab","SUCCESS","2022-10-15T21:04:35.666+05:30[Asia/Calcutta]","0.0","17.91"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify search bar functionality on view documents page","SUCCESS","2022-10-15T21:05:12.042+05:30[Asia/Calcutta]","0.0","83.13"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Check navigation on view document page","SUCCESS","2022-10-15T21:06:35.202+05:30[Asia/Calcutta]","0.0","39.84"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify clicks of previous button and next page button on first page.","SUCCESS","2022-10-15T21:07:15.059+05:30[Asia/Calcutta]","0.0","40.13"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check previous button working while not on first page","SUCCESS","2022-10-15T21:10:21.458+05:30[Asia/Calcutta]","0.0","18.48"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check the navigation buttons are working on view shared documents","SUCCESS","2022-10-15T21:10:40.611+05:30[Asia/Calcutta]","0.0","41.84"
