"Story","Title","Result","Date","Stability","Duration (s)"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","On Knowledge Base navigate to view documents and verify add New Documents Tag Icon Present and functional","PENDING","2022-12-16T10:21:08.4389155+05:30[Asia/Calcutta]","0.0","0.03"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","On Knowledge Base add new document and check how these are  working","PENDING","2022-12-16T10:21:08.478131+05:30[Asia/Calcutta]","0.0","0.03"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","click on checking the functionality of adding folder","PENDING","2022-12-16T10:21:08.51304+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Knowledge base view documents add new folder testcase to check folder functionality","PENDING","2022-12-16T10:21:08.5369747+05:30[Asia/Calcutta]","0.0","0.03"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check folder functionality add folder without name","PENDING","2022-12-16T10:21:08.5688905+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Check duplicate folder functionality by adding one duplicate folder","PENDING","2022-12-16T10:21:08.5960827+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check right click working","PENDING","2022-12-16T10:21:08.6165481+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check add new document after right click invalid doc type","PENDING","2022-12-16T10:21:08.6329838+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Upload a valid document after filling all the fields","PENDING","2022-12-16T10:21:08.6579178+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Filling all the fields and no documents attached","PENDING","2022-12-16T10:21:08.6912209+05:30[Asia/Calcutta]","0.0","0.03"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Upload a file without filling all the fields","PENDING","2022-12-16T10:21:08.7251526+05:30[Asia/Calcutta]","0.0","0.03"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Knowledge base view document check delete option from menulist","PENDING","2022-12-16T10:21:08.7626906+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Check rename functionality for folder on right click","PENDING","2022-12-16T10:21:08.7884284+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify menu list opening for subfolders","PENDING","2022-12-16T10:21:08.8075054+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check refresh button in view documents tab","PENDING","2022-12-16T10:21:08.8249832+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check number of rows dropdown working or not","PENDING","2022-12-16T10:21:08.8379862+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify search bar functionality on view documents page","PENDING","2022-12-16T10:21:08.8568977+05:30[Asia/Calcutta]","0.0","0.08"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","Check navigation on view document page","PENDING","2022-12-16T10:21:08.9387161+05:30[Asia/Calcutta]","0.0","0.04"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","verify clicks of previous button and next page button on first page.","PENDING","2022-12-16T10:21:08.9855846+05:30[Asia/Calcutta]","0.0","0.04"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","goto View shared documents and verify view functionality","PENDING","2022-12-16T10:21:09.0324619+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check the sorting functionality in view shared documents","PENDING","2022-12-16T10:21:09.0534018+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check the dropdown on view shared documents select rows","PENDING","2022-12-16T10:21:09.0733534+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check search bar functionality in view shared documents","PENDING","2022-12-16T10:21:09.0948136+05:30[Asia/Calcutta]","0.0","0.06"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check next button functionality at last page in view shared documents","PENDING","2022-12-16T10:21:09.1556511+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check previous button working while not on first page","PENDING","2022-12-16T10:21:09.1700542+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","check the navigation buttons are working on view shared documents","PENDING","2022-12-16T10:21:09.1810992+05:30[Asia/Calcutta]","0.0","0.04"
