"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Verify fields are Auto Populated by default","SUCCESS","2022-09-25T22:36:24.117+05:30[Asia/Calcutta]","0.0","38.09"
"MIS Leave Management Activities","Verify From,Till and Reason fields are mandatory","SUCCESS","2022-09-25T22:37:02.22+05:30[Asia/Calcutta]","0.0","57.43"
"MIS Leave Management Activities","Select From and Till Leave date from Calendar","ERROR","2022-09-25T22:37:59.67+05:30[Asia/Calcutta]","0.0","32.88"
"MIS Leave Management Activities","Choose leave for half day option","ERROR","2022-09-25T22:38:56.63+05:30[Asia/Calcutta]","0.0","37.45"
"MIS Leave Management Activities","Enter reason for leave","SUCCESS","2022-09-25T22:51:21.44+05:30[Asia/Calcutta]","0.0","59.7"
"MIS Leave Management Activities","Enter Data and submit Comp off","SUCCESS","2022-09-26T15:58:16.558+05:30[Asia/Calcutta]","0.0","60.64"
"MIS Leave Management Activities","Verify Date, Type of leave and Reason fields are mandatory","SUCCESS","2022-09-26T20:47:24.366+05:30[Asia/Calcutta]","0.0","40.55"
"MIS Leave Management Activities","Navigate to Leave Management > LWP Change Request tab","SUCCESS","2022-09-26T20:48:21.755+05:30[Asia/Calcutta]","0.0","36.47"
"MIS Leave Management Activities","Navigate to Leave Management > Out of Duty/Tour tab","SUCCESS","2022-09-26T17:19:45.166+05:30[Asia/Calcutta]","0.0","60.57"
"MIS Leave Management Activities","Verify Date and Reason are mandatory fields","ERROR","2022-09-26T18:01:54.471+05:30[Asia/Calcutta]","0.0","46.89"
"MIS Leave Management Activities","Navigate to Leave Management > Out Duty/Tour","SUCCESS","2022-09-26T19:31:44.746+05:30[Asia/Calcutta]","0.0","44.09"
"MIS Leave Management Activities","Verify From,Till,Type,Primary Contact number,Reason are mandatory fields","SUCCESS","2022-09-26T19:33:51.24+05:30[Asia/Calcutta]","0.0","49.01"
"MIS Leave Management Activities","Select Outing From and Till Leave date from Calendar","SUCCESS","2022-09-26T19:34:40.309+05:30[Asia/Calcutta]","0.0","39.68"
"MIS Leave Management Activities","Enter Primary Contact number","SUCCESS","2022-09-26T19:35:39.031+05:30[Asia/Calcutta]","0.0","39.72"
"MIS Leave Management Activities","Enter Data and Click on Submit","SUCCESS","2022-09-26T19:46:58.309+05:30[Asia/Calcutta]","0.0","51.48"
"MIS Leave Management Activities","Select Date from Date dropdown","SUCCESS","2022-09-26T11:20:43.71+05:30[Asia/Calcutta]","0.0","57.62"
"MIS Leave Management Activities","Enter reason for WFH","SUCCESS","2022-09-26T11:21:41.375+05:30[Asia/Calcutta]","0.0","54.16"
"MIS Leave Management Activities","Enter Date in Date dropdown","ERROR","2022-09-26T11:26:21.075+05:30[Asia/Calcutta]","0.0","56.41"
