"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management > View Request Status","Navigate to Leave Management > View Request Status tab > Work From Home","IGNORED","2022-12-26T21:25:49.7391997+05:30[Asia/Calcutta]","0.0","28.77"
"MIS Leave Management > View Request Status","Verify Date Range field is present for WFH Tab","IGNORED","2022-12-26T21:26:18.5530501+05:30[Asia/Calcutta]","0.0","19.97"
"MIS Leave Management > View Request Status","Enter Invalid Date Range for WFH Tab","IGNORED","2022-12-26T21:26:38.5574322+05:30[Asia/Calcutta]","0.0","20.12"
"MIS Leave Management > View Request Status","Enter Valid Date Range for WFH Tab","IGNORED","2022-12-26T21:26:58.7040383+05:30[Asia/Calcutta]","0.0","19.64"
"MIS Leave Management > View Request Status","Click on Export Options Option for WFH Tab","IGNORED","2022-12-26T21:27:18.3652676+05:30[Asia/Calcutta]","0.0","19.32"
"MIS Leave Management > View Request Status","Click on Print Option for WFH Tab","IGNORED","2022-12-26T21:27:37.703406+05:30[Asia/Calcutta]","0.0","19.85"
"MIS Leave Management > View Request Status","Click on Copy Option for WFH Tab","IGNORED","2022-12-26T21:27:57.56544+05:30[Asia/Calcutta]","0.0","19.46"
"MIS Leave Management > View Request Status","Click on Excel Option for WFH Tab","IGNORED","2022-12-26T21:28:17.0544992+05:30[Asia/Calcutta]","0.0","19.76"
"MIS Leave Management > View Request Status","Verify PDF option for WFH Tab","IGNORED","2022-12-26T21:28:36.8483428+05:30[Asia/Calcutta]","0.0","19.51"
"MIS Leave Management > View Request Status","Verify Number of Entries displayed for WFH Tab","IGNORED","2022-12-26T21:28:56.3869939+05:30[Asia/Calcutta]","0.0","19.42"
"MIS Leave Management > View Request Status","Enter WFH Period Name in Search Box for WFH Tab","IGNORED","2022-12-26T21:29:15.8238077+05:30[Asia/Calcutta]","0.0","19.19"
"MIS Leave Management > View Request Status","Sort columns for WFH Tab","IGNORED","2022-12-26T21:29:35.0235634+05:30[Asia/Calcutta]","0.0","19.27"
"MIS Leave Management > View Request Status","Page Next for WFH Tab","IGNORED","2022-12-26T21:29:54.3219822+05:30[Asia/Calcutta]","0.0","19.28"
"MIS Leave Management > View Request Status","Page Previous for WFH Tab","IGNORED","2022-12-26T21:30:13.6184917+05:30[Asia/Calcutta]","0.0","19.51"
