"Story","Title","Result","Date","Stability","Duration (s)"
"LNSA","Open Apply LNSA Tab","PENDING","2022-12-16T10:21:09.2249818+05:30[Asia/Calcutta]","0.0","0.0"
"LNSA","Move to previous date","PENDING","2022-12-16T10:21:09.2329613+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Move to next date","PENDING","2022-12-16T10:21:09.2429355+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Select Week Checkbox","PENDING","2022-12-16T10:21:09.2539102+05:30[Asia/Calcutta]","0.0","0.0"
"LNSA","Submit LNSA without selecting date","PENDING","2022-12-16T10:21:09.2629314+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Cancel Submit Window","PENDING","2022-12-16T10:21:09.2728764+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Submit Blank LNSA","PENDING","2022-12-16T10:21:09.2818666+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Submit Valid LNSA","PENDING","2022-12-16T10:21:09.3007778+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Open View Request status Tab","PENDING","2022-12-16T10:21:09.314076+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Export Data","PENDING","2022-12-16T10:21:09.3267084+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Verify number of rows data","PENDING","2022-12-16T10:21:09.3448343+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Valid Search a LNSA Request","PENDING","2022-12-16T10:21:09.3566375+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Invalid Search a LNSA Request","PENDING","2022-12-16T10:21:09.3715892+05:30[Asia/Calcutta]","0.0","0.01"
"LNSA","Sort the LNSA columns","PENDING","2022-12-16T10:21:09.3910691+05:30[Asia/Calcutta]","0.0","0.02"
"LNSA","View Status","PENDING","2022-12-16T10:21:09.4179868+05:30[Asia/Calcutta]","0.0","0.01"
