"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management > View Request Status","Navigate to Leave Management > View Request Status tab > Change Request","PENDING","2022-12-16T10:21:11.3683361+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Verify Date Range field is present for Change Request","PENDING","2022-12-16T10:21:11.3803034+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Enter Invalid Date Range for Change Request","PENDING","2022-12-16T10:21:11.3987918+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Enter Valid Date Range for Change Request","PENDING","2022-12-16T10:21:11.4147509+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Export Options Option for Change Request","PENDING","2022-12-16T10:21:11.4307075+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Print Option for Change Request","PENDING","2022-12-16T10:21:11.4436721+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Copy Option for Change Request","PENDING","2022-12-16T10:21:11.4606263+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Excel Option for Change Request","PENDING","2022-12-16T10:21:11.4775819+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management > View Request Status","Verify PDF option for Change Request","PENDING","2022-12-16T10:21:11.5057534+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management > View Request Status","Navigate to Leave Management > View Request Status tab > Comp Off","PENDING","2022-12-16T10:21:11.5286925+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Verify Date Range field is present for Comp Off Tab","PENDING","2022-12-16T10:21:11.5426551+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Enter Invalid Date Range for Comp Off Tab","PENDING","2022-12-16T10:21:11.5557274+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Enter Valid Date Range for Comp Off Tab","PENDING","2022-12-16T10:21:11.5725752+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Export Options Option for Comp Off Tab","PENDING","2022-12-16T10:21:11.5895309+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Print Option for Comp Off Tab","PENDING","2022-12-16T10:21:11.6034926+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Copy Option for Comp Off Tab","PENDING","2022-12-16T10:21:11.6194493+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Excel Option for Comp Off Tab","PENDING","2022-12-16T10:21:11.6384005+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management > View Request Status","Verify PDF option for Comp Off Tab","PENDING","2022-12-16T10:21:11.6643319+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management > View Request Status","Enter Comp Off Period Name in Search Box for Comp Off Tab","PENDING","2022-12-16T10:21:11.6822825+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Sort columns for Comp Off Tab","PENDING","2022-12-16T10:21:11.6992418+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Expand Details of Comp Off","PENDING","2022-12-16T10:21:11.7131991+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Navigate to Leave Management > View Request Status tab > Leave Tab","PENDING","2022-12-16T10:21:11.7291863+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Verify Date Range field is present for Leave Tab","PENDING","2022-12-16T10:21:11.7391303+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Enter Invalid Date Range for Leave Tab","PENDING","2022-12-16T10:21:11.7502056+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Enter Valid Date Range for Leave Tab","PENDING","2022-12-16T10:21:11.7640639+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Verify Export Options for Leave Tab","PENDING","2022-12-16T10:21:11.7780267+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Print Option for Leave Tab","PENDING","2022-12-16T10:21:11.7912366+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Excel Option for Leave Tab","PENDING","2022-12-16T10:21:11.8071925+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Click on Copy Option for Leave Tab","PENDING","2022-12-16T10:21:11.8201572+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Verify PDF option for Leave Tab","PENDING","2022-12-16T10:21:11.8341195+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Verify Number of Entries displayed for Leave Tab","PENDING","2022-12-16T10:21:11.8500796+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Enter Leave Period Name in Search Box for Leave Tab","PENDING","2022-12-16T10:21:11.8670338+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Sort columns for Leave Tab","PENDING","2022-12-16T10:21:11.8780045+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Page Next for Leave Tab","PENDING","2022-12-16T10:21:11.8908105+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management > View Request Status","Page Previous for Leave Tab","PENDING","2022-12-16T10:21:11.9067732+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management > View Request Status","Cancel Leave for Leave Tab","PENDING","2022-12-16T10:21:11.9307068+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management > View Request Status","Navigate to Leave Management > View Request Status tab > Out Duty/Tour","PENDING","2022-12-16T10:21:11.9586327+05:30[Asia/Calcutta]","0.0","0.01"
