"Story","Title","Result","Date","Stability","Duration (s)"
"Feedback","Open Submit Feedback Page","SUCCESS","2022-12-17T23:04:57.5613284+05:30[Asia/Calcutta]","0.0","35.59"
"Feedback","Submit a Feedback","SUCCESS","2022-12-17T23:05:33.6735362+05:30[Asia/Calcutta]","0.0","47.2"
"Feedback","Submit a Blank Feedback","SUCCESS","2022-12-17T23:06:20.9306246+05:30[Asia/Calcutta]","0.0","37.95"
"Feedback","Verify Page Navigation","SUCCESS","2022-12-17T23:06:58.897115+05:30[Asia/Calcutta]","0.0","32.15"
"Feedback","Valid Search a Feedback","SUCCESS","2022-12-17T23:07:31.0626185+05:30[Asia/Calcutta]","0.0","47.68"
"Feedback","Invalid Search a Feedback","SUCCESS","2022-12-17T23:08:18.7612538+05:30[Asia/Calcutta]","0.0","46.7"
"Feedback","Verify number of rows data","SUCCESS","2022-12-17T23:09:05.4720288+05:30[Asia/Calcutta]","0.0","41.3"
"Feedback","Sort the Feedback column","SUCCESS","2022-12-17T23:09:46.7881037+05:30[Asia/Calcutta]","0.0","51.34"
"Feedback","View a Feedback","SUCCESS","2022-12-17T23:10:38.1681628+05:30[Asia/Calcutta]","0.0","50.09"
"Feedback","Export Data","SUCCESS","2022-12-22T17:38:13.1429223+05:30[Asia/Calcutta]","0.0","74.19"
