"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Verify Date and Reason are mandatory fields","SUCCESS","2022-10-12T17:00:30.621+05:30[Asia/Calcutta]","0.0","51.7"
"MIS Leave Management Activities","Select Date from Date dropdown","SUCCESS","2022-10-12T17:01:22.354+05:30[Asia/Calcutta]","0.0","45.7"
"MIS Leave Management Activities","Navigate to Leave Management > Comp Off tab","SUCCESS","2022-10-14T00:58:49.724+05:30[Asia/Calcutta]","0.0","75.79"
"MIS Leave Management Activities","Verify Date and Reason are mandatory fields for Comp Off","SUCCESS","2022-10-14T01:00:05.538+05:30[Asia/Calcutta]","0.0","79.95"
"MIS Leave Management Activities","Select Date from Comp Off Date dropdown","SUCCESS","2022-10-14T01:01:25.526+05:30[Asia/Calcutta]","0.0","71.2"
"MIS Leave Management Activities","Enter Reason for Comp off","SUCCESS","2022-10-14T01:02:36.757+05:30[Asia/Calcutta]","0.0","72.85"
"MIS Leave Management Activities","Navigate to Leave Management > LWP Change Request tab","SUCCESS","2022-10-14T01:05:19.154+05:30[Asia/Calcutta]","0.0","70.82"
"MIS Leave Management Activities","Verify Date, Type of leave and Reason fields are mandatory","SUCCESS","2022-10-14T01:06:29.995+05:30[Asia/Calcutta]","0.0","80.18"
"MIS Leave Management Activities","Verify fields are Auto Populated by default","SUCCESS","2022-10-12T20:05:56.611+05:30[Asia/Calcutta]","0.0","55.92"
"MIS Leave Management Activities","Verify From,Till and Reason fields are mandatory","SUCCESS","2022-10-12T20:06:52.551+05:30[Asia/Calcutta]","0.0","44.27"
"MIS Leave Management Activities","Choose leave for half day option","SUCCESS","2022-10-12T20:23:58.345+05:30[Asia/Calcutta]","0.0","205.21"
"MIS Leave Management Activities","Choose Availability","SUCCESS","2022-10-12T20:42:39.554+05:30[Asia/Calcutta]","0.0","63.09"
"MIS Leave Management Activities","Navigate to Leave Management > Apply tab","SUCCESS","2022-10-14T01:07:50.219+05:30[Asia/Calcutta]","0.0","60.74"
"MIS Leave Management Activities","Verify fields are Auto Populated by default on Leave tab","SUCCESS","2022-10-14T01:08:51.054+05:30[Asia/Calcutta]","0.0","61.09"
"MIS Leave Management Activities","Verify From,Till and Reason fields are mandatory fields for Leave Tab","SUCCESS","2022-10-14T01:09:52.26+05:30[Asia/Calcutta]","0.0","80.56"
"MIS Leave Management Activities","Select From and Till Leave date from Leave Calendar","SUCCESS","2022-10-14T01:11:12.934+05:30[Asia/Calcutta]","0.0","88.5"
"MIS Leave Management Activities","Verify Total Working Days tooltip from Leave Tab","SUCCESS","2022-10-14T01:12:41.463+05:30[Asia/Calcutta]","0.0","103.57"
"MIS Leave Management Activities","Choose leave for half day option from Leave tab","SUCCESS","2022-10-14T01:14:25.072+05:30[Asia/Calcutta]","0.0","97.37"
"MIS Leave Management Activities","Choose leave type","SUCCESS","2022-10-14T01:16:02.456+05:30[Asia/Calcutta]","0.0","93.64"
"MIS Leave Management Activities","Enter reason for leave","SUCCESS","2022-10-14T01:17:36.107+05:30[Asia/Calcutta]","0.0","90.43"
"MIS Leave Management Activities","Choose Availability for Leave","SUCCESS","2022-10-14T01:19:06.562+05:30[Asia/Calcutta]","0.0","96.81"
"MIS Leave Management Activities","Enter required data and click on Submit leave","SUCCESS","2022-10-14T01:20:43.395+05:30[Asia/Calcutta]","0.0","121.06"
"MIS Leave Management Activities","Enter Data and Click on Submit","SUCCESS","2022-10-12T22:44:08.086+05:30[Asia/Calcutta]","0.0","257.02"
