"Story","Title","Result","Date","Stability","Duration (s)"
"Login MIS Application Activities","User verifies elements of Login page","SUCCESS","2022-12-16T12:59:04.3535011+05:30[Asia/Calcutta]","0.0","15.73"
"Login MIS Application Activities","User Clicks on Sign In without entering Credentials","SUCCESS","2022-12-16T15:28:59.5928313+05:30[Asia/Calcutta]","0.0","26.8"
"Login MIS Application Activities","User Enters only username and Clicks on Sign In","SUCCESS","2022-12-16T15:32:48.2518935+05:30[Asia/Calcutta]","0.0","16.69"
"Login MIS Application Activities","User Enter only password and Clicks on Sign In","SUCCESS","2022-12-16T15:34:02.7895065+05:30[Asia/Calcutta]","0.0","16.81"
"Login MIS Application Activities","User Enters Invalid Credentials","SUCCESS","2022-12-16T15:34:52.2531769+05:30[Asia/Calcutta]","0.0","16.46"
"Login MIS Application Activities","User Login to the Application via SSO","SUCCESS","2022-12-16T15:35:50.62085+05:30[Asia/Calcutta]","0.0","17.99"
"Login MIS Application Activities","User clicks on Forget Password","SUCCESS","2022-12-16T15:56:25.2954268+05:30[Asia/Calcutta]","0.0","18.49"
"Login MIS Application Activities","User Clicks on Reset linking without giving username","SUCCESS","2022-12-16T19:15:03.1166051+05:30[Asia/Calcutta]","0.0","20.73"
"Login MIS Application Activities","User navigate back to sign In Page","SUCCESS","2022-12-16T19:23:28.0769395+05:30[Asia/Calcutta]","0.0","15.65"
"Login MIS Application Activities","User Login to the Application","SUCCESS","2022-12-17T21:02:22.6331626+05:30[Asia/Calcutta]","0.0","32.04"
