"Story","Title","Result","Date","Stability","Duration (s)"
"NavBar","Verify user redirect to landing page when clicking on Gemini logo","PENDING","2022-12-16T10:21:10.3197335+05:30[Asia/Calcutta]","0.0","0.01"
"NavBar","Verify toggle button on dashboard page","PENDING","2022-12-16T10:21:10.3297643+05:30[Asia/Calcutta]","0.0","0.01"
"NavBar","Click on Change AD Password and verify  new tab is open","PENDING","2022-12-16T10:21:10.3406778+05:30[Asia/Calcutta]","0.0","0.0"
"NavBar","Click on profile menu and verify all items are present","PENDING","2022-12-16T10:21:10.3507852+05:30[Asia/Calcutta]","0.0","0.0"
"NavBar","Verify Add skill close button after entering all values","PENDING","2022-12-16T10:21:10.3586293+05:30[Asia/Calcutta]","0.0","0.02"
"NavBar","Verify success/warning message box when adding new/duplicate skills from profile dropdown","PENDING","2022-12-16T10:21:10.3861088+05:30[Asia/Calcutta]","0.0","0.03"
"NavBar","Verify Experience text field on Add new skills window","PENDING","2022-12-16T10:21:10.4229959+05:30[Asia/Calcutta]","0.0","0.02"
"NavBar","Logout to MIS portal","PENDING","2022-12-16T10:21:10.4509035+05:30[Asia/Calcutta]","0.0","0.0"
"NavBar","Verify cars are added on dashboard when updating from dashboard setting","PENDING","2022-12-16T10:21:10.4578828+05:30[Asia/Calcutta]","0.0","0.01"
"NavBar","Verify all cards re appear when checked from dashboard setting","PENDING","2022-12-16T10:21:10.4668591+05:30[Asia/Calcutta]","0.0","0.01"
