"Story","Title","Result","Date","Stability","Duration (s)"
"Leave Balance","Verify leave Balance card is visible or not","PENDING","2022-12-16T10:21:09.4289565+05:30[Asia/Calcutta]","0.0","0.0"
"Leave Balance","Click on number of leaves and verify leave history popup window","PENDING","2022-12-16T10:21:09.436996+05:30[Asia/Calcutta]","0.0","0.01"
"Leave Balance","Navigate to leave history window and verify number of records","PENDING","2022-12-16T10:21:09.4497768+05:30[Asia/Calcutta]","0.0","0.01"
"Accounts Portal","Verify elements loaded on My Account page","PENDING","2022-12-16T10:21:10.1735462+05:30[Asia/Calcutta]","0.0","0.01"
"Accounts Portal","Verify login to GreytHR portal and verify View Info list","PENDING","2022-12-16T10:21:10.1845717+05:30[Asia/Calcutta]","0.0","0.01"
"Accounts Portal","Verify log in failed when no credentials are enter","PENDING","2022-12-16T10:21:10.2054855+05:30[Asia/Calcutta]","0.0","0.01"
"Accounts Portal","Verify all the element on GreytHR landing page","PENDING","2022-12-16T10:21:10.2144662+05:30[Asia/Calcutta]","0.0","0.0"
"Accounts Portal","Verify profile details in greytHR portal","PENDING","2022-12-16T10:21:10.2264347+05:30[Asia/Calcutta]","0.0","0.01"
"NavBar","Verify user redirect to landing page when clicking on Gemini logo","PENDING","2022-12-16T10:21:10.3197335+05:30[Asia/Calcutta]","0.0","0.01"
"NavBar","Verify toggle button on dashboard page","PENDING","2022-12-16T10:21:10.3297643+05:30[Asia/Calcutta]","0.0","0.01"
"NavBar","Click on Change AD Password and verify  new tab is open","PENDING","2022-12-16T10:21:10.3406778+05:30[Asia/Calcutta]","0.0","0.0"
"NavBar","Click on profile menu and verify all items are present","PENDING","2022-12-16T10:21:10.3507852+05:30[Asia/Calcutta]","0.0","0.0"
"NavBar","Verify Add skill close button after entering all values","PENDING","2022-12-16T10:21:10.3586293+05:30[Asia/Calcutta]","0.0","0.02"
"NavBar","Verify success/warning message box when adding new/duplicate skills from profile dropdown","PENDING","2022-12-16T10:21:10.3861088+05:30[Asia/Calcutta]","0.0","0.03"
"NavBar","Verify Experience text field on Add new skills window","PENDING","2022-12-16T10:21:10.4229959+05:30[Asia/Calcutta]","0.0","0.02"
"NavBar","Logout to MIS portal","PENDING","2022-12-16T10:21:10.4509035+05:30[Asia/Calcutta]","0.0","0.0"
"NavBar","Verify cars are added on dashboard when updating from dashboard setting","PENDING","2022-12-16T10:21:10.4578828+05:30[Asia/Calcutta]","0.0","0.01"
"NavBar","Verify all cards re appear when checked from dashboard setting","PENDING","2022-12-16T10:21:10.4668591+05:30[Asia/Calcutta]","0.0","0.01"
