"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Verify Data is present in Policies tab","FAILURE","2022-10-13T17:53:25.495+05:30[Asia/Calcutta]","0.0","37.22"
"MIS Leave Management Activities","Verify Number of Entries displayed","FAILURE","2022-10-13T17:54:02.884+05:30[Asia/Calcutta]","0.0","37.12"
"MIS Leave Management Activities","Enter Policy Name in Search Box","FAILURE","2022-10-13T17:54:40.025+05:30[Asia/Calcutta]","0.0","36.49"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Change Request","SUCCESS","2022-10-13T17:56:32.21+05:30[Asia/Calcutta]","0.0","45.23"
"MIS Leave Management Activities","Click on Excel Option for Change Request","SUCCESS","2022-10-13T18:02:49.377+05:30[Asia/Calcutta]","0.0","59.99"
"MIS Leave Management Activities","Verify PDF option for Change Request","SUCCESS","2022-10-13T18:03:49.388+05:30[Asia/Calcutta]","0.0","59.01"
"MIS Leave Management Activities","Sort columns for Leave Tab","SUCCESS","2022-10-13T18:24:10.519+05:30[Asia/Calcutta]","0.0","58.7"
"MIS Leave Management Activities","Click on View button for Out Duty/Tour","FAILURE","2022-10-13T18:37:43.245+05:30[Asia/Calcutta]","0.0","50.82"
"MIS Leave Management Activities","Enter Valid Date Range for WFH Tab","ERROR","2022-10-13T18:42:26.31+05:30[Asia/Calcutta]","0.0","43.41"
"MIS Leave Management Activities","Click on Export Options Option for WFH Tab","SUCCESS","2022-10-13T18:43:09.73+05:30[Asia/Calcutta]","0.0","51.84"
"MIS Leave Management Activities","Click on Print Option for WFH Tab","FAILURE","2022-10-13T18:44:01.589+05:30[Asia/Calcutta]","0.0","42.12"
"MIS Leave Management Activities","Click on Copy Option for WFH Tab","SUCCESS","2022-10-13T18:44:43.73+05:30[Asia/Calcutta]","0.0","55.87"
"MIS Leave Management Activities","Click on Excel Option for WFH Tab","ERROR","2022-10-13T18:45:39.606+05:30[Asia/Calcutta]","0.0","42.94"
"MIS Leave Management Activities","Verify PDF option for WFH Tab","SUCCESS","2022-10-13T18:46:22.56+05:30[Asia/Calcutta]","0.0","56.19"
"MIS Leave Management Activities","Verify Number of Entries displayed for WFH Tab","SUCCESS","2022-10-13T18:47:18.786+05:30[Asia/Calcutta]","0.0","53.27"
"MIS Leave Management Activities","Sort columns for WFH Tab","SUCCESS","2022-10-13T18:48:59.187+05:30[Asia/Calcutta]","0.0","52.34"
