"Story","Title","Result","Date","Stability","Duration (s)"
"LNSA","Open Apply LNSA Tab","SUCCESS","2022-10-15T21:11:22.463+05:30[Asia/Calcutta]","0.0","24.07"
"LNSA","Move to previous date","SUCCESS","2022-10-15T21:11:47.206+05:30[Asia/Calcutta]","0.0","28.49"
"LNSA","Move to next date","SUCCESS","2022-10-15T21:12:16.372+05:30[Asia/Calcutta]","0.0","35.4"
"LNSA","Select Week Checkbox","SUCCESS","2022-10-15T21:12:52.455+05:30[Asia/Calcutta]","0.0","25.42"
"LNSA","Submit LNSA without selecting date","SUCCESS","2022-10-15T21:13:18.575+05:30[Asia/Calcutta]","0.0","31.94"
"LNSA","Cancel Submit Window","SUCCESS","2022-10-15T21:13:51.213+05:30[Asia/Calcutta]","0.0","32.46"
"LNSA","Submit Blank LNSA","SUCCESS","2022-10-15T21:14:24.383+05:30[Asia/Calcutta]","0.0","32.91"
"LNSA","Submit Valid LNSA","SUCCESS","2022-10-15T21:14:57.983+05:30[Asia/Calcutta]","0.0","39.57"
"LNSA","Open View Request status Tab","SUCCESS","2022-10-15T21:15:38.264+05:30[Asia/Calcutta]","0.0","22.28"
"LNSA","Export Data","SUCCESS","2022-10-15T21:16:01.278+05:30[Asia/Calcutta]","0.0","40.34"
"LNSA","Verify number of rows data","SUCCESS","2022-10-15T21:16:42.307+05:30[Asia/Calcutta]","0.0","24.78"
"LNSA","Valid Search a LNSA Request","SUCCESS","2022-10-15T21:17:07.784+05:30[Asia/Calcutta]","0.0","24.18"
"LNSA","Invalid Search a LNSA Request","SUCCESS","2022-10-15T21:17:31.967+05:30[Asia/Calcutta]","0.0","23.55"
"LNSA","View Status","SUCCESS","2022-10-15T21:18:23.921+05:30[Asia/Calcutta]","0.0","28.43"
