"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Choose Availability","SUCCESS","2022-10-12T20:42:39.554+05:30[Asia/Calcutta]","0.0","63.09"
"MIS Leave Management Activities","Select From and Till Leave date from Leave Calendar","SUCCESS","2022-10-13T17:31:31.253+05:30[Asia/Calcutta]","0.0","62.8"
"MIS Leave Management Activities","Verify Total Working Days tooltip from Leave Tab","SUCCESS","2022-10-13T17:32:34.066+05:30[Asia/Calcutta]","0.0","72.88"
"MIS Leave Management Activities","Choose leave for half day option from Leave tab","SUCCESS","2022-10-13T17:33:46.964+05:30[Asia/Calcutta]","0.0","66.73"
"MIS Leave Management Activities","Choose leave type","SUCCESS","2022-10-13T17:34:53.702+05:30[Asia/Calcutta]","0.0","68.78"
"MIS Leave Management Activities","Enter reason for leave","SUCCESS","2022-10-13T17:36:02.531+05:30[Asia/Calcutta]","0.0","64.22"
"MIS Leave Management Activities","Choose Availability for Leave","SUCCESS","2022-10-13T17:37:06.776+05:30[Asia/Calcutta]","0.0","66.38"
"MIS Leave Management Activities","Enter required data and click on Submit leave","SUCCESS","2022-10-13T17:38:13.189+05:30[Asia/Calcutta]","0.0","80.44"
"MIS Leave Management Activities","Verify From,Till,Type,Primary Contact Number and Reason for outing are mandatory fields","SUCCESS","2022-10-13T17:40:29.465+05:30[Asia/Calcutta]","0.0","64.22"
"MIS Leave Management Activities","Verify WFH Date and WFH Reason are mandatory fields","SUCCESS","2022-10-13T17:48:32.081+05:30[Asia/Calcutta]","0.0","62.2"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Change Request","SUCCESS","2022-10-13T17:56:32.21+05:30[Asia/Calcutta]","0.0","45.23"
"MIS Leave Management Activities","Click on Excel Option for Change Request","SUCCESS","2022-10-13T18:02:49.377+05:30[Asia/Calcutta]","0.0","59.99"
"MIS Leave Management Activities","Verify PDF option for Change Request","SUCCESS","2022-10-13T18:03:49.388+05:30[Asia/Calcutta]","0.0","59.01"
"MIS Leave Management Activities","Verify Number of Entries displayed for Leave Tab","SUCCESS","2022-10-13T18:22:17.162+05:30[Asia/Calcutta]","0.0","69.22"
"MIS Leave Management Activities","Sort columns for Leave Tab","SUCCESS","2022-10-13T18:24:10.519+05:30[Asia/Calcutta]","0.0","58.7"
"MIS Leave Management Activities","Page Next for Leave Tab","SUCCESS","2022-10-13T18:25:09.238+05:30[Asia/Calcutta]","0.0","65.62"
"MIS Leave Management Activities","Page Previous for Leave Tab","SUCCESS","2022-10-13T18:26:14.876+05:30[Asia/Calcutta]","0.0","72.75"
"MIS Leave Management Activities","Click on Export Options Option for WFH Tab","SUCCESS","2022-10-13T18:43:09.73+05:30[Asia/Calcutta]","0.0","51.84"
"MIS Leave Management Activities","Click on Copy Option for WFH Tab","SUCCESS","2022-10-13T18:44:43.73+05:30[Asia/Calcutta]","0.0","55.87"
"MIS Leave Management Activities","Verify PDF option for WFH Tab","SUCCESS","2022-10-13T18:46:22.56+05:30[Asia/Calcutta]","0.0","56.19"
"MIS Leave Management Activities","Verify Number of Entries displayed for WFH Tab","SUCCESS","2022-10-13T18:47:18.786+05:30[Asia/Calcutta]","0.0","53.27"
"MIS Leave Management Activities","Sort columns for WFH Tab","SUCCESS","2022-10-13T18:48:59.187+05:30[Asia/Calcutta]","0.0","52.34"
