"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Forms- View Forms scenarios","Open View Forms Page","SUCCESS","2022-10-15T21:26:48.743+05:30[Asia/Calcutta]","0.0","40.73"
"MIS Forms- View Forms scenarios","Check presence of Previous and Next Btn","SUCCESS","2022-10-15T21:27:29.485+05:30[Asia/Calcutta]","0.0","32.66"
"MIS Forms- View Forms scenarios","User selects a department","SUCCESS","2022-10-15T21:28:02.174+05:30[Asia/Calcutta]","0.0","37.27"
"MIS Forms- View Forms scenarios","User select number of entries","SUCCESS","2022-10-15T21:28:39.454+05:30[Asia/Calcutta]","0.0","29.38"
"MIS Forms- View Forms scenarios","User enters valid value in search field","SUCCESS","2022-10-15T21:29:08.843+05:30[Asia/Calcutta]","0.0","33.47"
"MIS Forms- View Forms scenarios","User enters invalid value in search field","SUCCESS","2022-10-15T21:29:42.33+05:30[Asia/Calcutta]","0.0","31.29"
"MIS Forms- View Forms scenarios","User clicks on eye button to view policy","SUCCESS","2022-10-15T21:30:13.632+05:30[Asia/Calcutta]","0.0","32.28"
"MIS Forms- View Forms scenarios","User opens My Forms page","SUCCESS","2022-10-15T21:31:22.899+05:30[Asia/Calcutta]","0.0","35.65"
"MIS Forms- View Forms scenarios","User enters valid value in My forms search field","SUCCESS","2022-10-15T21:33:43.196+05:30[Asia/Calcutta]","0.0","32.76"
"MIS Forms- View Forms scenarios","User enters an invalid value in My Forms search field","SUCCESS","2022-10-15T21:34:15.966+05:30[Asia/Calcutta]","0.0","32.66"
"MIS Forms- View Forms scenarios","User hover over and clicks on deactivate Button","SUCCESS","2022-10-15T21:34:48.633+05:30[Asia/Calcutta]","0.0","31.06"
"MIS Forms- View Forms scenarios","User downloads from My Forms page","SUCCESS","2022-10-15T21:35:19.705+05:30[Asia/Calcutta]","0.0","35.87"
