"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Choose Availability","SUCCESS","2022-10-12T20:42:39.554+05:30[Asia/Calcutta]","0.0","63.09"
"MIS Leave Management Activities","Select From and Till Leave date from Leave Calendar","SUCCESS","2022-10-13T17:31:31.253+05:30[Asia/Calcutta]","0.0","62.8"
"MIS Leave Management Activities","Verify Total Working Days tooltip from Leave Tab","SUCCESS","2022-10-13T17:32:34.066+05:30[Asia/Calcutta]","0.0","72.88"
"MIS Leave Management Activities","Choose leave for half day option from Leave tab","SUCCESS","2022-10-13T17:33:46.964+05:30[Asia/Calcutta]","0.0","66.73"
"MIS Leave Management Activities","Choose leave type","SUCCESS","2022-10-13T17:34:53.702+05:30[Asia/Calcutta]","0.0","68.78"
"MIS Leave Management Activities","Enter reason for leave","SUCCESS","2022-10-13T17:36:02.531+05:30[Asia/Calcutta]","0.0","64.22"
"MIS Leave Management Activities","Choose Availability for Leave","SUCCESS","2022-10-13T17:37:06.776+05:30[Asia/Calcutta]","0.0","66.38"
"MIS Leave Management Activities","Enter required data and click on Submit leave","SUCCESS","2022-10-13T17:38:13.189+05:30[Asia/Calcutta]","0.0","80.44"
"MIS Leave Management Activities","Verify From,Till,Type,Primary Contact Number and Reason for outing are mandatory fields","SUCCESS","2022-10-13T17:40:29.465+05:30[Asia/Calcutta]","0.0","64.22"
"MIS Leave Management Activities","Enter Data and Click on Submit for Out of Duty tab","FAILURE","2022-10-13T17:45:30.498+05:30[Asia/Calcutta]","0.0","65.37"
"MIS Leave Management Activities","Verify WFH Date and WFH Reason are mandatory fields","SUCCESS","2022-10-13T17:48:32.081+05:30[Asia/Calcutta]","0.0","62.2"
"MIS Leave Management Activities","Enter reason for WFH","ERROR","2022-10-13T17:50:32.145+05:30[Asia/Calcutta]","0.0","68.51"
"MIS Leave Management Activities","Enter required data and click on Submit WFH","ERROR","2022-10-13T17:51:40.696+05:30[Asia/Calcutta]","0.0","68.56"
"MIS Leave Management Activities","Verify Number of Entries displayed for Leave Tab","SUCCESS","2022-10-13T18:22:17.162+05:30[Asia/Calcutta]","0.0","69.22"
"MIS Leave Management Activities","Page Next for Leave Tab","SUCCESS","2022-10-13T18:25:09.238+05:30[Asia/Calcutta]","0.0","65.62"
"MIS Leave Management Activities","Page Previous for Leave Tab","SUCCESS","2022-10-13T18:26:14.876+05:30[Asia/Calcutta]","0.0","72.75"
"MIS Leave Management Activities","Cancel Leave for Leave Tab","FAILURE","2022-10-13T18:27:27.662+05:30[Asia/Calcutta]","0.0","71.58"
