"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management > View Request Status","Navigate to Leave Management > View Request Status tab > Change Request","SUCCESS","2022-10-15T22:16:08.803+05:30[Asia/Calcutta]","0.0","59.79"
"MIS Leave Management > View Request Status","Verify Date Range field is present for Change Request","SUCCESS","2022-10-15T22:17:08.602+05:30[Asia/Calcutta]","0.0","59.69"
"MIS Leave Management > View Request Status","Enter Invalid Date Range for Change Request","SUCCESS","2022-10-15T22:18:08.311+05:30[Asia/Calcutta]","0.0","69.08"
"MIS Leave Management > View Request Status","Enter Valid Date Range for Change Request","SUCCESS","2022-10-15T22:19:17.42+05:30[Asia/Calcutta]","0.0","80.31"
"MIS Leave Management > View Request Status","Click on Export Options Option for Change Request","SUCCESS","2022-10-15T22:20:37.743+05:30[Asia/Calcutta]","0.0","70.4"
"MIS Leave Management > View Request Status","Click on Print Option for Change Request","SUCCESS","2022-10-15T22:21:48.167+05:30[Asia/Calcutta]","0.0","84.36"
"MIS Leave Management > View Request Status","Click on Excel Option for Change Request","SUCCESS","2022-10-15T22:26:08.746+05:30[Asia/Calcutta]","0.0","87.14"
"MIS Leave Management > View Request Status","Verify PDF option for Change Request","SUCCESS","2022-10-15T22:27:35.903+05:30[Asia/Calcutta]","0.0","88.31"
"MIS Leave Management > View Request Status","Click on Copy Option for Change Request","SUCCESS","2022-10-16T00:01:01.4989409+05:30[Asia/Calcutta]","0.0","102.69"
"MIS Leave Management > View Request Status","Navigate to Leave Management > View Request Status tab > Comp Off","SUCCESS","2022-10-15T22:29:04.243+05:30[Asia/Calcutta]","0.0","66.56"
"MIS Leave Management > View Request Status","Verify Date Range field is present for Comp Off Tab","SUCCESS","2022-10-15T22:30:10.824+05:30[Asia/Calcutta]","0.0","65.37"
"MIS Leave Management > View Request Status","Enter Invalid Date Range for Comp Off Tab","SUCCESS","2022-10-15T22:31:16.237+05:30[Asia/Calcutta]","0.0","76.53"
"MIS Leave Management > View Request Status","Enter Valid Date Range for Comp Off Tab","SUCCESS","2022-10-15T22:32:32.813+05:30[Asia/Calcutta]","0.0","86.91"
"MIS Leave Management > View Request Status","Click on Export Options Option for Comp Off Tab","SUCCESS","2022-10-15T22:33:59.746+05:30[Asia/Calcutta]","0.0","77.24"
"MIS Leave Management > View Request Status","Click on Print Option for Comp Off Tab","SUCCESS","2022-10-15T22:35:17.018+05:30[Asia/Calcutta]","0.0","87.65"
"MIS Leave Management > View Request Status","Click on Copy Option for Comp Off Tab","SUCCESS","2022-10-15T22:36:44.71+05:30[Asia/Calcutta]","0.0","87.23"
"MIS Leave Management > View Request Status","Click on Excel Option for Comp Off Tab","SUCCESS","2022-10-15T22:38:11.975+05:30[Asia/Calcutta]","0.0","88.21"
"MIS Leave Management > View Request Status","Verify PDF option for Comp Off Tab","SUCCESS","2022-10-15T22:39:40.228+05:30[Asia/Calcutta]","0.0","89.75"
"MIS Leave Management > View Request Status","Enter Comp Off Period Name in Search Box for Comp Off Tab","SUCCESS","2022-10-15T22:41:10.006+05:30[Asia/Calcutta]","0.0","67.34"
"MIS Leave Management > View Request Status","Sort columns for Comp Off Tab","SUCCESS","2022-10-15T22:42:17.367+05:30[Asia/Calcutta]","0.0","103.82"
"MIS Leave Management > View Request Status","Expand Details of Comp Off","SUCCESS","2022-10-15T22:44:01.225+05:30[Asia/Calcutta]","0.0","77.53"
"MIS Leave Management > View Request Status","Navigate to Leave Management > View Request Status tab > Leave Tab","SUCCESS","2022-10-15T22:45:18.776+05:30[Asia/Calcutta]","0.0","54.54"
"MIS Leave Management > View Request Status","Verify Date Range field is present for Leave Tab","SUCCESS","2022-10-15T22:46:13.347+05:30[Asia/Calcutta]","0.0","55.18"
"MIS Leave Management > View Request Status","Enter Invalid Date Range for Leave Tab","SUCCESS","2022-10-15T22:47:08.559+05:30[Asia/Calcutta]","0.0","66.3"
"MIS Leave Management > View Request Status","Enter Valid Date Range for Leave Tab","SUCCESS","2022-10-15T22:48:14.887+05:30[Asia/Calcutta]","0.0","76.18"
