"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Forms- View Forms scenarios","Open View Forms Page","PENDING","2022-12-16T10:21:09.7552326+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","Check presence of Previous and Next Btn","PENDING","2022-12-16T10:21:09.7701699+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User selects a department","PENDING","2022-12-16T10:21:09.7851292+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User select number of entries","PENDING","2022-12-16T10:21:09.801262+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User enters valid value in search field","PENDING","2022-12-16T10:21:09.8150494+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User enters invalid value in search field","PENDING","2022-12-16T10:21:09.8320042+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User clicks on eye button to view policy","PENDING","2022-12-16T10:21:09.8474669+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User downloads document","PENDING","2022-12-16T10:21:09.8599818+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User opens My Forms page","PENDING","2022-12-16T10:21:09.8719126+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User uploads Incorrect File","PENDING","2022-12-16T10:21:09.8858468+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Forms- View Forms scenarios","User Uploads correct File","PENDING","2022-12-16T10:21:09.9097832+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User uploads file and selects number of entries","PENDING","2022-12-16T10:21:09.9297287+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User enters valid value in My forms search field","PENDING","2022-12-16T10:21:09.9468942+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User enters an invalid value in My Forms search field","PENDING","2022-12-16T10:21:09.9616461+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User hover over and clicks on deactivate Button","PENDING","2022-12-16T10:21:09.9766055+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Forms- View Forms scenarios","User downloads from My Forms page","PENDING","2022-12-16T10:21:09.9955563+05:30[Asia/Calcutta]","0.0","0.02"
