"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Enter Data and submit Comp off","ERROR","2022-10-14T01:03:49.639+05:30[Asia/Calcutta]","0.0","89.5"
"MIS Leave Management Activities","Verify Total Working Days tooltip","ERROR","2022-10-12T20:08:21.455+05:30[Asia/Calcutta]","0.0","44.52"
"MIS Leave Management Activities","Select Date from WFH Date dropdown","ERROR","2022-10-14T01:36:46.728+05:30[Asia/Calcutta]","0.0","73.6"
"MIS Leave Management Activities","Enter reason for WFH","ERROR","2022-10-14T01:38:00.336+05:30[Asia/Calcutta]","0.0","73.11"
"MIS Leave Management Activities","Enter required data and click on Submit WFH","ERROR","2022-10-14T01:39:13.461+05:30[Asia/Calcutta]","0.0","73.69"
"Leave Balance","Click on number of leaves and verify leave history popup window","FAILURE","2022-10-14T01:41:11.988+05:30[Asia/Calcutta]","0.0","19.47"
"Leave Balance","Navigate to leave history window and verify number of records","FAILURE","2022-10-14T01:41:32.154+05:30[Asia/Calcutta]","0.0","19.25"
"NavBar","Click on Change AD Password and verify  new tab is open","FAILURE","2022-10-14T01:45:44.262+05:30[Asia/Calcutta]","0.0","19.61"
"NavBar","Verify Add skill close button after entering all values","FAILURE","2022-10-14T01:46:23.931+05:30[Asia/Calcutta]","0.0","46.0"
"NavBar","Verify success/warning message box when adding new/duplicate skills from profile dropdown","FAILURE","2022-10-14T01:47:10.646+05:30[Asia/Calcutta]","0.0","78.59"
"NavBar","Verify cars are added on dashboard when updating from dashboard setting","FAILURE","2022-10-14T01:50:15.312+05:30[Asia/Calcutta]","0.0","19.63"
"Perform actions on Organization Structure of MIS website","Search an employee and get their designation","ERROR","2022-10-14T01:50:35.702+05:30[Asia/Calcutta]","0.0","16.24"
"Perform actions on Organization Structure of MIS website","Count total number of seniors visible by default","ERROR","2022-10-14T01:50:52.631+05:30[Asia/Calcutta]","0.0","14.14"
"Perform actions on Organization Structure of MIS website","Expand and compress a senior with max reportees","ERROR","2022-10-14T01:51:07.462+05:30[Asia/Calcutta]","0.0","14.18"
"Perform actions on Organization Structure of MIS website","Zoom on a card by double clicking it","ERROR","2022-10-14T01:51:22.3+05:30[Asia/Calcutta]","0.0","14.49"
"Perform actions on Organization Structure of MIS website","Zoom in and Zoom out the organisation structure","ERROR","2022-10-14T01:51:37.484+05:30[Asia/Calcutta]","0.0","14.33"
"MIS Leave Management Activities","Navigate to Policy > View Policies","FAILURE","2022-10-14T01:51:52.649+05:30[Asia/Calcutta]","0.0","31.1"
"MIS Leave Management Activities","Enter Invalid Policy Name in Search Box","ERROR","2022-10-14T01:55:27.025+05:30[Asia/Calcutta]","0.0","57.03"
"Perform actions on TimeSheet of MIS website","Verify Save button is present and working","ERROR","2022-10-14T02:05:54.534+05:30[Asia/Calcutta]","0.0","14.37"
"Perform actions on TimeSheet of MIS website","Search a text using search box","ERROR","2022-10-14T02:08:38.071+05:30[Asia/Calcutta]","0.0","71.74"
"Perform actions on TimeSheet of MIS website","Add an invalid task template","ERROR","2022-10-14T02:09:49.823+05:30[Asia/Calcutta]","0.0","109.55"
"Perform actions on TimeSheet of MIS website","Edit an existing task template","ERROR","2022-10-14T02:13:02.323+05:30[Asia/Calcutta]","0.0","263.06"
"MIS Leave Management Activities","Expand Details for Out Duty/Tour","FAILURE","2022-10-13T14:34:33.974+05:30[Asia/Calcutta]","0.0","53.44"
"MIS Leave Management Activities","Click on Excel Option for Out Duty/Tour","FAILURE","2022-10-14T03:10:10.024+05:30[Asia/Calcutta]","0.0","20.81"
