"Story","Title","Result","Date","Stability","Duration (s)"
"Automation of appraisal management screen in beta mis","Navigate to add goal page and verify Add goal window","ERROR","2022-10-15T20:36:37.224+05:30[Asia/Calcutta]","0.0","33.01"
"Automation of appraisal management screen in beta mis","Verify financial year dropdown","ERROR","2022-10-15T20:37:10.957+05:30[Asia/Calcutta]","0.0","32.19"
"Automation of appraisal management screen in beta mis","Verify link for list of KRAs and KPIs","ERROR","2022-10-15T20:37:43.851+05:30[Asia/Calcutta]","0.0","31.69"
"Automation of appraisal management screen in beta mis","Add new KPI/KRA mapping in add goal window and validate add KPI button","ERROR","2022-10-15T20:38:16.224+05:30[Asia/Calcutta]","0.0","32.31"
"Automation of appraisal management screen in beta mis","Verify warning popup appears when KPI/KRA fields are left empty","ERROR","2022-10-15T20:38:49.238+05:30[Asia/Calcutta]","0.0","32.39"
"Automation of appraisal management screen in beta mis","Verify adding data in each field","ERROR","2022-10-15T20:39:22.42+05:30[Asia/Calcutta]","0.0","41.12"
"Automation of appraisal management screen in beta mis","Verify Add/Delete of new KPI Row","SUCCESS","2022-10-15T20:40:04.697+05:30[Asia/Calcutta]","0.0","31.74"
"Automation of appraisal management screen in beta mis","Verify entry counts","SUCCESS","2022-10-15T20:40:37.139+05:30[Asia/Calcutta]","0.0","25.58"
"Automation of appraisal management screen in beta mis","Verify page navigation","SUCCESS","2022-10-15T20:41:03.411+05:30[Asia/Calcutta]","0.0","26.05"
"Automation of appraisal management screen in beta mis","verify export button functionality","ERROR","2022-10-15T20:41:30.155+05:30[Asia/Calcutta]","0.0","33.36"
"Automation of appraisal management screen in beta mis","verify column sorting working or not","SUCCESS","2022-10-15T20:42:04.203+05:30[Asia/Calcutta]","0.0","25.77"
"Automation of appraisal management screen in beta mis","Verify searches","ERROR","2022-10-15T20:42:30.956+05:30[Asia/Calcutta]","0.0","75.17"
"Automation of appraisal management screen in beta mis","check delete with remark and without remark","ERROR","2022-10-15T20:43:46.141+05:30[Asia/Calcutta]","0.0","36.17"
"Automation of appraisal management screen in beta mis","Submit Goals","SUCCESS","2022-10-15T20:44:23.391+05:30[Asia/Calcutta]","0.0","47.83"
"Automation of appraisal management screen in beta mis","click on draft without filling any fields","SUCCESS","2022-10-15T20:45:11.254+05:30[Asia/Calcutta]","0.0","44.21"
