"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > Comp Off tab","PENDING","2022-12-16T10:21:06.0439286+05:30[Asia/Calcutta]","0.0","0.4"
"MIS Leave Management Activities > Apply","Verify Date and Reason are mandatory fields for Comp Off","PENDING","2022-12-16T10:21:06.4779082+05:30[Asia/Calcutta]","0.0","0.04"
"MIS Leave Management Activities > Apply","Select Date from Comp Off Date dropdown","PENDING","2022-12-16T10:21:06.5259273+05:30[Asia/Calcutta]","0.0","0.03"
"MIS Leave Management Activities > Apply","Enter Reason for Comp off","PENDING","2022-12-16T10:21:06.5629665+05:30[Asia/Calcutta]","0.0","0.03"
"MIS Leave Management Activities > Apply","Enter Data and submit Comp off","PENDING","2022-12-16T10:21:06.6007502+05:30[Asia/Calcutta]","0.0","0.04"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > LWP Change Request tab","PENDING","2022-12-16T10:21:06.6466265+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Verify Date, Type of leave and Reason fields are mandatory","PENDING","2022-12-16T10:21:06.6685667+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > Apply tab","PENDING","2022-12-16T10:21:06.6967798+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Verify fields are Auto Populated by default on Leave tab","PENDING","2022-12-16T10:21:06.7177479+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Verify From,Till and Reason fields are mandatory fields for Leave Tab","PENDING","2022-12-16T10:21:06.7426565+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Select From and Till Leave date from Leave Calendar","PENDING","2022-12-16T10:21:06.7656338+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Verify Total Working Days tooltip from Leave Tab","PENDING","2022-12-16T10:21:06.7860533+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Choose leave for half day option from Leave tab","PENDING","2022-12-16T10:21:06.8071102+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Choose leave type","PENDING","2022-12-16T10:21:06.8319335+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Enter reason for leave","PENDING","2022-12-16T10:21:06.8518804+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Choose Availability for Leave","PENDING","2022-12-16T10:21:06.8743586+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Enter required data and click on Submit leave","PENDING","2022-12-16T10:21:06.8953046+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > Out of Duty/Tour tab","PENDING","2022-12-16T10:21:06.9222322+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Verify From,Till,Type,Primary Contact Number and Reason for outing are mandatory fields","PENDING","2022-12-16T10:21:06.9446163+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Select From and Till Leave date from Calendar","PENDING","2022-12-16T10:21:06.9661131+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Select type for Out Duty","PENDING","2022-12-16T10:21:06.9866203+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Enter Reason for Out Duty","PENDING","2022-12-16T10:21:07.0095596+05:30[Asia/Calcutta]","0.0","0.03"
"MIS Leave Management Activities > Apply","Enter Primary Contact Number for Out Duty","PENDING","2022-12-16T10:21:07.0424733+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Enter Data and Click on Submit for Out of Duty tab","PENDING","2022-12-16T10:21:07.0654095+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > WFH tab","PENDING","2022-12-16T10:21:07.1252673+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Verify field is Auto Populated by default in WFH tab","PENDING","2022-12-16T10:21:07.1521779+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Verify WFH Date and WFH Reason are mandatory fields","PENDING","2022-12-16T10:21:07.1896254+05:30[Asia/Calcutta]","0.0","0.04"
"MIS Leave Management Activities > Apply","Select Date from WFH Date dropdown","PENDING","2022-12-16T10:21:07.235502+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Enter reason for WFH","PENDING","2022-12-16T10:21:07.2684567+05:30[Asia/Calcutta]","0.0","0.03"
"MIS Leave Management Activities > Apply","Enter required data and click on Submit WFH","PENDING","2022-12-16T10:21:07.3032375+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","Navigate to add goal page and verify Add goal window","PENDING","2022-12-16T10:21:07.3390427+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","Verify financial year dropdown","PENDING","2022-12-16T10:21:07.3628316+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","Verify link for list of KRAs and KPIs","PENDING","2022-12-16T10:21:07.3852266+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","Add new KPI/KRA mapping in add goal window and validate add KPI button","PENDING","2022-12-16T10:21:07.4101577+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","Verify warning popup appears when KPI/KRA fields are left empty","PENDING","2022-12-16T10:21:07.4640118+05:30[Asia/Calcutta]","0.0","0.08"
"Automation of appraisal management screen in beta mis","Verify adding data in each field","PENDING","2022-12-16T10:21:07.5552894+05:30[Asia/Calcutta]","0.0","0.03"
"Automation of appraisal management screen in beta mis","Verify Add/Delete of new KPI Row","PENDING","2022-12-16T10:21:07.5949499+05:30[Asia/Calcutta]","0.0","0.04"
"Automation of appraisal management screen in beta mis","Verify entry counts","PENDING","2022-12-16T10:21:07.6448342+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","Verify page navigation","PENDING","2022-12-16T10:21:07.6607749+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","verify export button functionality","PENDING","2022-12-16T10:21:07.6843384+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","verify column sorting working or not","PENDING","2022-12-16T10:21:07.707411+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","Verify searches","PENDING","2022-12-16T10:21:07.7371682+05:30[Asia/Calcutta]","0.0","0.07"
"Automation of appraisal management screen in beta mis","check delete with remark and without remark","PENDING","2022-12-16T10:21:07.8207243+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","Submit Goals","PENDING","2022-12-16T10:21:07.8490901+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","click on draft without filling any fields","PENDING","2022-12-16T10:21:07.8701219+05:30[Asia/Calcutta]","0.0","0.03"
"Perform actions on Dashboard of MIS website","Select a month and verify","PENDING","2022-12-16T10:21:07.9068822+05:30[Asia/Calcutta]","0.0","0.01"
"DashboardReferral","Verify if dashboard page is loaded properly and JD window is visible","PENDING","2022-12-16T10:21:07.9178517+05:30[Asia/Calcutta]","0.0","0.01"
"DashboardReferral","Create referral red error field validation","PENDING","2022-12-16T10:21:07.9358075+05:30[Asia/Calcutta]","0.0","0.01"
"DashboardReferral","Validation of referral creation","PENDING","2022-12-16T10:21:07.9519683+05:30[Asia/Calcutta]","0.0","0.01"
"DashboardReferral","Validation of resume popup in my referral card","PENDING","2022-12-16T10:21:07.9737048+05:30[Asia/Calcutta]","0.0","0.01"
"DashboardReferral","Validation of wrong email popup","PENDING","2022-12-16T10:21:07.9946469+05:30[Asia/Calcutta]","0.0","0.01"
"DashboardReferral","Validation of wrong format upload pop","PENDING","2022-12-16T10:21:08.0126003+05:30[Asia/Calcutta]","0.0","0.01"
"DashboardReferral","Validation of FAQ pdf visibility","PENDING","2022-12-16T10:21:08.025565+05:30[Asia/Calcutta]","0.0","0.01"
"DashboardReferral","Validation of manual pdf visibility","PENDING","2022-12-16T10:21:08.037563+05:30[Asia/Calcutta]","0.0","0.01"
"EmployeeDirectory","Check whether employee directory page is downloaded","PENDING","2022-12-16T10:21:08.0524922+05:30[Asia/Calcutta]","0.0","0.03"
"Automation of  View Document and view shared document Submenu in knowledge base menu in MIS Dashboard","On Knowledge Base navigate to view documents and verify add New Documents Tag Icon Present and functional","PENDING","2022-12-16T10:21:08.4389155+05:30[Asia/Calcutta]","0.0","0.03"
