"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Dashboard Profile module Scenarios","User Updates Mobile and Extn Number","SUCCESS","2022-10-15T21:20:00.194+05:30[Asia/Calcutta]","0.0","23.37"
"MIS Dashboard Profile module Scenarios","User enters invalid Phone number","SUCCESS","2022-10-15T21:20:23.586+05:30[Asia/Calcutta]","0.0","23.5"
"MIS Dashboard Profile module Scenarios","User not fills a field in Mobile Number section","SUCCESS","2022-10-15T21:20:47.093+05:30[Asia/Calcutta]","0.0","23.03"
"MIS Dashboard Profile module Scenarios","User not fills a field in Extension number section","SUCCESS","2022-10-15T21:21:10.132+05:30[Asia/Calcutta]","0.0","22.36"
"MIS Dashboard Profile module Scenarios","User enters invalid Extension Number","SUCCESS","2022-10-15T21:21:32.506+05:30[Asia/Calcutta]","0.0","23.21"
"MIS Dashboard Profile module Scenarios","User enters invalid Pin code","SUCCESS","2022-10-15T21:21:55.728+05:30[Asia/Calcutta]","0.0","27.6"
"MIS Dashboard Profile module Scenarios","User enters Incorrect Password","SUCCESS","2022-10-15T21:22:23.354+05:30[Asia/Calcutta]","0.0","32.52"
"MIS Dashboard Profile module Scenarios","User enters Different Password in Confirm Password","SUCCESS","2022-10-15T21:22:55.891+05:30[Asia/Calcutta]","0.0","31.16"
"MIS Dashboard Profile module Scenarios","User Changes Password Successfully","SUCCESS","2022-10-15T21:23:27.069+05:30[Asia/Calcutta]","0.0","28.66"
"MIS Dashboard Profile module Scenarios","User not fills a field in Change Password section","SUCCESS","2022-10-15T21:23:55.756+05:30[Asia/Calcutta]","0.0","28.35"
"MIS Dashboard Profile module Scenarios","User Updates Address","SUCCESS","2022-10-15T21:24:24.112+05:30[Asia/Calcutta]","0.0","28.44"
"MIS Dashboard Profile module Scenarios","User leaves Pin Code field blank","SUCCESS","2022-10-15T21:24:52.562+05:30[Asia/Calcutta]","0.0","26.21"
"MIS Dashboard Profile module Scenarios","User applies for lunch for already applied date","SUCCESS","2022-10-15T21:25:43.539+05:30[Asia/Calcutta]","0.0","26.37"
"MIS Dashboard Profile module Scenarios","User leave a field blank in Apply lunch","SUCCESS","2022-10-15T21:26:09.926+05:30[Asia/Calcutta]","0.0","23.25"
