"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Dashboard Profile module Scenarios","User Updates Mobile and Extn Number","PENDING","2022-12-16T10:21:09.4618679+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User enters invalid Phone number","PENDING","2022-12-16T10:21:09.485866+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Dashboard Profile module Scenarios","User not fills a field in Mobile Number section","PENDING","2022-12-16T10:21:09.5067482+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User not fills a field in Extension number section","PENDING","2022-12-16T10:21:09.5227052+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User enters invalid Extension Number","PENDING","2022-12-16T10:21:09.5396602+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User enters invalid Pin code","PENDING","2022-12-16T10:21:09.5586112+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User enters Incorrect Password","PENDING","2022-12-16T10:21:09.5765623+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Dashboard Profile module Scenarios","User enters Different Password in Confirm Password","PENDING","2022-12-16T10:21:09.5995826+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User Changes Password Successfully","PENDING","2022-12-16T10:21:09.6178566+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User not fills a field in Change Password section","PENDING","2022-12-16T10:21:09.633815+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User Updates Address","PENDING","2022-12-16T10:21:09.6527628+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User leaves Pin Code field blank","PENDING","2022-12-16T10:21:09.6687215+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User applies for lunch","PENDING","2022-12-16T10:21:09.6843989+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Dashboard Profile module Scenarios","User applies for lunch for already applied date","PENDING","2022-12-16T10:21:09.7044348+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","User leave a field blank in Apply lunch","PENDING","2022-12-16T10:21:09.7222966+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Dashboard Profile module Scenarios","Download Card","PENDING","2022-12-16T10:21:09.7383019+05:30[Asia/Calcutta]","0.0","0.01"
