"Story","Title","Result","Date","Stability","Duration (s)"
"Leave Balance","Verify leave Balance card is visible or not","SUCCESS","2022-10-14T01:40:54.242+05:30[Asia/Calcutta]","0.0","17.03"
"Accounts Portal","Verify elements loaded on My Account page","SUCCESS","2022-10-14T01:41:52.145+05:30[Asia/Calcutta]","0.0","26.91"
"Accounts Portal","Verify login to GreytHR portal and verify View Info list","SUCCESS","2022-10-14T01:42:19.983+05:30[Asia/Calcutta]","0.0","37.73"
"Accounts Portal","Verify log in failed when no credentials are enter","SUCCESS","2022-10-14T01:42:58.798+05:30[Asia/Calcutta]","0.0","19.82"
"Accounts Portal","Verify all the element on GreytHR landing page","SUCCESS","2022-10-14T01:43:19.353+05:30[Asia/Calcutta]","0.0","37.08"
"Accounts Portal","Verify profile details in greytHR portal","SUCCESS","2022-10-14T01:43:57.359+05:30[Asia/Calcutta]","0.0","44.49"
"NavBar","Verify user redirect to landing page when clicking on Gemini logo","SUCCESS","2022-10-14T01:44:42.652+05:30[Asia/Calcutta]","0.0","26.67"
"NavBar","Verify toggle button on dashboard page","SUCCESS","2022-10-14T01:45:10.021+05:30[Asia/Calcutta]","0.0","33.52"
"NavBar","Click on profile menu and verify all items are present","SUCCESS","2022-10-14T01:46:04.566+05:30[Asia/Calcutta]","0.0","18.57"
"NavBar","Verify Experience text field on Add new skills window","SUCCESS","2022-10-14T01:48:29.303+05:30[Asia/Calcutta]","0.0","84.9"
"NavBar","Logout to MIS portal","SUCCESS","2022-10-14T01:49:54.237+05:30[Asia/Calcutta]","0.0","20.29"
