"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Verify Date and Reason are mandatory fields","SUCCESS","2022-10-12T17:00:30.621+05:30[Asia/Calcutta]","0.0","51.7"
"MIS Leave Management Activities","Select Date from Date dropdown","SUCCESS","2022-10-12T17:01:22.354+05:30[Asia/Calcutta]","0.0","45.7"
"MIS Leave Management Activities","Navigate to Leave Management > Comp Off tab","SUCCESS","2022-10-13T17:22:44.755+05:30[Asia/Calcutta]","0.0","59.3"
"MIS Leave Management Activities","Verify Date and Reason are mandatory fields for Comp Off","SUCCESS","2022-10-13T17:23:44.083+05:30[Asia/Calcutta]","0.0","59.73"
"MIS Leave Management Activities","Select Date from Comp Off Date dropdown","SUCCESS","2022-10-13T17:24:43.838+05:30[Asia/Calcutta]","0.0","56.91"
"MIS Leave Management Activities","Enter Reason for Comp off","SUCCESS","2022-10-13T17:25:40.756+05:30[Asia/Calcutta]","0.0","56.79"
"MIS Leave Management Activities","Navigate to Leave Management > LWP Change Request tab","SUCCESS","2022-10-13T17:26:58.405+05:30[Asia/Calcutta]","0.0","55.84"
"MIS Leave Management Activities","Verify Date, Type of leave and Reason fields are mandatory","SUCCESS","2022-10-13T17:27:54.271+05:30[Asia/Calcutta]","0.0","59.75"
"MIS Leave Management Activities","Verify fields are Auto Populated by default","SUCCESS","2022-10-12T20:05:56.611+05:30[Asia/Calcutta]","0.0","55.92"
"MIS Leave Management Activities","Verify From,Till and Reason fields are mandatory","SUCCESS","2022-10-12T20:06:52.551+05:30[Asia/Calcutta]","0.0","44.27"
"MIS Leave Management Activities","Verify Total Working Days tooltip","ERROR","2022-10-12T20:08:21.455+05:30[Asia/Calcutta]","0.0","44.52"
"MIS Leave Management Activities","Navigate to Leave Management > Apply tab","SUCCESS","2022-10-13T17:28:54.047+05:30[Asia/Calcutta]","0.0","50.67"
"MIS Leave Management Activities","Verify fields are Auto Populated by default on Leave tab","ERROR","2022-10-13T17:29:44.728+05:30[Asia/Calcutta]","0.0","53.4"
"MIS Leave Management Activities","Verify From,Till and Reason fields are mandatory fields for Leave Tab","ERROR","2022-10-13T17:30:38.136+05:30[Asia/Calcutta]","0.0","53.11"
"MIS Leave Management Activities","Navigate to Leave Management > Out of Duty/Tour tab","SUCCESS","2022-10-13T17:39:33.655+05:30[Asia/Calcutta]","0.0","55.72"
"MIS Leave Management Activities","Select From and Till Leave date from Calendar","SUCCESS","2022-10-13T17:41:33.703+05:30[Asia/Calcutta]","0.0","55.95"
"MIS Leave Management Activities","Select type for Out Duty","SUCCESS","2022-10-13T17:42:29.684+05:30[Asia/Calcutta]","0.0","58.04"
"MIS Leave Management Activities","Navigate to Leave Management > WFH tab","SUCCESS","2022-10-13T17:46:35.905+05:30[Asia/Calcutta]","0.0","58.44"
"MIS Leave Management Activities","Verify field is Auto Populated by default in WFH tab","SUCCESS","2022-10-13T17:47:34.374+05:30[Asia/Calcutta]","0.0","57.69"
"MIS Leave Management Activities","Select Date from WFH Date dropdown","SUCCESS","2022-10-13T17:49:34.321+05:30[Asia/Calcutta]","0.0","57.8"
"MIS Leave Management Activities","Navigate to Policy > View Policies","FAILURE","2022-10-13T17:52:49.308+05:30[Asia/Calcutta]","0.0","36.17"
"MIS Leave Management Activities","Enter Invalid Policy Name in Search Box","FAILURE","2022-10-13T17:55:16.571+05:30[Asia/Calcutta]","0.0","45.02"
"MIS Leave Management Activities","Verify Date Range field is present for Change Request","SUCCESS","2022-10-13T17:57:17.457+05:30[Asia/Calcutta]","0.0","45.43"
