"Story","Title","Result","Date","Stability","Duration (s)"
"Reimbursement","Reimbursement Add new request function","PENDING","2022-12-16T10:21:10.6430594+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Reimbursement main page validations","PENDING","2022-12-16T10:21:10.6620092+05:30[Asia/Calcutta]","0.0","0.02"
"Reimbursement","Verify if search box is working","PENDING","2022-12-16T10:21:10.6829533+05:30[Asia/Calcutta]","0.0","0.02"
"Reimbursement","Verify if search box is working for no records found","PENDING","2022-12-16T10:21:10.7073581+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Verify we are able to check if warning pop up is visible","PENDING","2022-12-16T10:21:10.7224087+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Verify warning for more than one reimbursement in a month","PENDING","2022-12-16T10:21:10.7432469+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Verify total amount is correct","PENDING","2022-12-16T10:21:10.7562083+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Validation Pdf export","PENDING","2022-12-16T10:21:10.7682187+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Validate if are able to navigate back to reimbursement main page","PENDING","2022-12-16T10:21:10.7906387+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Validation for action button visibility","PENDING","2022-12-16T10:21:10.8085924+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Validation for cancel button functionality","PENDING","2022-12-16T10:21:10.819563+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Reimbursement Add new request function save draft functionality","PENDING","2022-12-16T10:21:10.8325279+05:30[Asia/Calcutta]","0.0","0.03"
"Reimbursement","Verify if Copy functionality is working properly","PENDING","2022-12-16T10:21:10.8654815+05:30[Asia/Calcutta]","0.0","0.01"
"Reimbursement","Verify wrong extension warning pop up is visible","PENDING","2022-12-16T10:21:10.8794045+05:30[Asia/Calcutta]","0.0","0.01"
