"Story","Title","Result","Date","Stability","Duration (s)"
"Automation of appraisal management screen in beta mis","Navigate to add goal page and verify Add goal window","PENDING","2022-12-16T10:21:07.3390427+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","Verify financial year dropdown","PENDING","2022-12-16T10:21:07.3628316+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","Verify link for list of KRAs and KPIs","PENDING","2022-12-16T10:21:07.3852266+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","Add new KPI/KRA mapping in add goal window and validate add KPI button","PENDING","2022-12-16T10:21:07.4101577+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","Verify warning popup appears when KPI/KRA fields are left empty","PENDING","2022-12-16T10:21:07.4640118+05:30[Asia/Calcutta]","0.0","0.08"
"Automation of appraisal management screen in beta mis","Verify adding data in each field","PENDING","2022-12-16T10:21:07.5552894+05:30[Asia/Calcutta]","0.0","0.03"
"Automation of appraisal management screen in beta mis","Verify Add/Delete of new KPI Row","PENDING","2022-12-16T10:21:07.5949499+05:30[Asia/Calcutta]","0.0","0.04"
"Automation of appraisal management screen in beta mis","Verify entry counts","PENDING","2022-12-16T10:21:07.6448342+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","Verify page navigation","PENDING","2022-12-16T10:21:07.6607749+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","verify export button functionality","PENDING","2022-12-16T10:21:07.6843384+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","verify column sorting working or not","PENDING","2022-12-16T10:21:07.707411+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","Verify searches","PENDING","2022-12-16T10:21:07.7371682+05:30[Asia/Calcutta]","0.0","0.07"
"Automation of appraisal management screen in beta mis","check delete with remark and without remark","PENDING","2022-12-16T10:21:07.8207243+05:30[Asia/Calcutta]","0.0","0.02"
"Automation of appraisal management screen in beta mis","Submit Goals","PENDING","2022-12-16T10:21:07.8490901+05:30[Asia/Calcutta]","0.0","0.01"
"Automation of appraisal management screen in beta mis","click on draft without filling any fields","PENDING","2022-12-16T10:21:07.8701219+05:30[Asia/Calcutta]","0.0","0.03"
