"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > Comp Off tab","PENDING","2022-12-16T10:21:06.0439286+05:30[Asia/Calcutta]","0.0","0.4"
"MIS Leave Management Activities > Apply","Verify Date and Reason are mandatory fields for Comp Off","PENDING","2022-12-16T10:21:06.4779082+05:30[Asia/Calcutta]","0.0","0.04"
"MIS Leave Management Activities > Apply","Select Date from Comp Off Date dropdown","PENDING","2022-12-16T10:21:06.5259273+05:30[Asia/Calcutta]","0.0","0.03"
"MIS Leave Management Activities > Apply","Enter Reason for Comp off","PENDING","2022-12-16T10:21:06.5629665+05:30[Asia/Calcutta]","0.0","0.03"
"MIS Leave Management Activities > Apply","Enter Data and submit Comp off","PENDING","2022-12-16T10:21:06.6007502+05:30[Asia/Calcutta]","0.0","0.04"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > LWP Change Request tab","PENDING","2022-12-16T10:21:06.6466265+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Verify Date, Type of leave and Reason fields are mandatory","PENDING","2022-12-16T10:21:06.6685667+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > Apply tab","PENDING","2022-12-16T10:21:06.6967798+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Verify fields are Auto Populated by default on Leave tab","PENDING","2022-12-16T10:21:06.7177479+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Verify From,Till and Reason fields are mandatory fields for Leave Tab","PENDING","2022-12-16T10:21:06.7426565+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Select From and Till Leave date from Leave Calendar","PENDING","2022-12-16T10:21:06.7656338+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Verify Total Working Days tooltip from Leave Tab","PENDING","2022-12-16T10:21:06.7860533+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Choose leave for half day option from Leave tab","PENDING","2022-12-16T10:21:06.8071102+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Choose leave type","PENDING","2022-12-16T10:21:06.8319335+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Enter reason for leave","PENDING","2022-12-16T10:21:06.8518804+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Choose Availability for Leave","PENDING","2022-12-16T10:21:06.8743586+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Enter required data and click on Submit leave","PENDING","2022-12-16T10:21:06.8953046+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > Out of Duty/Tour tab","PENDING","2022-12-16T10:21:06.9222322+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Verify From,Till,Type,Primary Contact Number and Reason for outing are mandatory fields","PENDING","2022-12-16T10:21:06.9446163+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Select From and Till Leave date from Calendar","PENDING","2022-12-16T10:21:06.9661131+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Select type for Out Duty","PENDING","2022-12-16T10:21:06.9866203+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Enter Reason for Out Duty","PENDING","2022-12-16T10:21:07.0095596+05:30[Asia/Calcutta]","0.0","0.03"
"MIS Leave Management Activities > Apply","Enter Primary Contact Number for Out Duty","PENDING","2022-12-16T10:21:07.0424733+05:30[Asia/Calcutta]","0.0","0.01"
"MIS Leave Management Activities > Apply","Enter Data and Click on Submit for Out of Duty tab","PENDING","2022-12-16T10:21:07.0654095+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > WFH tab","PENDING","2022-12-16T10:21:07.1252673+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Verify field is Auto Populated by default in WFH tab","PENDING","2022-12-16T10:21:07.1521779+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Verify WFH Date and WFH Reason are mandatory fields","PENDING","2022-12-16T10:21:07.1896254+05:30[Asia/Calcutta]","0.0","0.04"
"MIS Leave Management Activities > Apply","Select Date from WFH Date dropdown","PENDING","2022-12-16T10:21:07.235502+05:30[Asia/Calcutta]","0.0","0.02"
"MIS Leave Management Activities > Apply","Enter reason for WFH","PENDING","2022-12-16T10:21:07.2684567+05:30[Asia/Calcutta]","0.0","0.03"
"MIS Leave Management Activities > Apply","Enter required data and click on Submit WFH","PENDING","2022-12-16T10:21:07.3032375+05:30[Asia/Calcutta]","0.0","0.02"
