"Story","Title","Result","Date","Stability","Duration (s)"
"Feedback","Open Submit Feedback Page","SUCCESS","2022-10-15T20:50:43.122+05:30[Asia/Calcutta]","0.0","23.09"
"Feedback","Submit a Feedback","SUCCESS","2022-10-15T20:51:06.891+05:30[Asia/Calcutta]","0.0","40.52"
"Feedback","Submit a Blank Feedback","SUCCESS","2022-10-15T20:51:47.421+05:30[Asia/Calcutta]","0.0","32.63"
"Feedback","Verify Page Navigation","SUCCESS","2022-10-15T20:52:20.065+05:30[Asia/Calcutta]","0.0","27.22"
"Feedback","Valid Search a Feedback","SUCCESS","2022-10-15T20:52:47.302+05:30[Asia/Calcutta]","0.0","45.37"
"Feedback","Invalid Search a Feedback","SUCCESS","2022-10-15T20:53:32.684+05:30[Asia/Calcutta]","0.0","42.65"
"Feedback","Verify number of rows data","SUCCESS","2022-10-15T20:54:15.352+05:30[Asia/Calcutta]","0.0","36.68"
"Feedback","Sort the Feedback column","SUCCESS","2022-10-15T20:54:52.047+05:30[Asia/Calcutta]","0.0","48.11"
"Feedback","View a Feedback","SUCCESS","2022-10-15T20:55:40.178+05:30[Asia/Calcutta]","0.0","45.03"
"Feedback","Export Data","SUCCESS","2022-10-15T20:56:25.22+05:30[Asia/Calcutta]","0.0","56.19"
