"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Verify Total Working Days tooltip","ERROR","2022-10-12T20:08:21.455+05:30[Asia/Calcutta]","0.0","44.52"
"MIS Leave Management Activities","Verify fields are Auto Populated by default on Leave tab","ERROR","2022-10-13T17:29:44.728+05:30[Asia/Calcutta]","0.0","53.4"
"MIS Leave Management Activities","Verify From,Till and Reason fields are mandatory fields for Leave Tab","ERROR","2022-10-13T17:30:38.136+05:30[Asia/Calcutta]","0.0","53.11"
"MIS Leave Management Activities","Navigate to Policy > View Policies","FAILURE","2022-10-13T17:52:49.308+05:30[Asia/Calcutta]","0.0","36.17"
"MIS Leave Management Activities","Enter Invalid Policy Name in Search Box","FAILURE","2022-10-13T17:55:16.571+05:30[Asia/Calcutta]","0.0","45.02"
"MIS Leave Management Activities","View Policy","FAILURE","2022-10-13T17:56:01.604+05:30[Asia/Calcutta]","0.0","30.55"
"MIS Leave Management Activities","Expand Details for Out Duty/Tour","FAILURE","2022-10-13T14:34:33.974+05:30[Asia/Calcutta]","0.0","53.44"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Out Duty/Tour","ERROR","2022-10-13T18:28:39.261+05:30[Asia/Calcutta]","0.0","43.16"
"MIS Leave Management Activities","Enter Invalid Date Range for Out Duty/Tour","ERROR","2022-10-13T18:30:05.43+05:30[Asia/Calcutta]","0.0","42.83"
"MIS Leave Management Activities","Enter Valid Date Range for Out Duty/Tour","FAILURE","2022-10-13T18:30:48.274+05:30[Asia/Calcutta]","0.0","41.84"
"MIS Leave Management Activities","Click on Export Options Option for Out Duty/Tour","FAILURE","2022-10-13T18:31:30.119+05:30[Asia/Calcutta]","0.0","21.99"
"MIS Leave Management Activities","Click on Print Option for Out Duty/Tour","ERROR","2022-10-13T18:31:52.112+05:30[Asia/Calcutta]","0.0","52.25"
"MIS Leave Management Activities","Verify PDF option for Out Duty/Tour","FAILURE","2022-10-13T18:34:36.693+05:30[Asia/Calcutta]","0.0","45.85"
"MIS Leave Management Activities","Verify Date in View Window for Out Duty/Tour","FAILURE","2022-10-13T18:38:34.097+05:30[Asia/Calcutta]","0.0","51.41"
"MIS Leave Management Activities","Search in View Window for Out Duty/Tour","FAILURE","2022-10-13T18:39:25.511+05:30[Asia/Calcutta]","0.0","51.78"
"MIS Leave Management Activities","Enter Invalid Date Range for WFH Tab","ERROR","2022-10-13T18:41:42.512+05:30[Asia/Calcutta]","0.0","43.78"
