"Story","Title","Result","Date","Stability","Duration (s)"
"Perform actions on TimeSheet of MIS website","Verify total tabs and active tab","PENDING","2022-12-16T10:21:10.9153082+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on TimeSheet of MIS website","Search a text using search box","PENDING","2022-12-16T10:21:10.9262939+05:30[Asia/Calcutta]","0.0","0.04"
"Perform actions on TimeSheet of MIS website","Verify Save button is present and working","PENDING","2022-12-16T10:21:10.9682041+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on TimeSheet of MIS website","Open previous and next week timesheet","PENDING","2022-12-16T10:21:11.010631+05:30[Asia/Calcutta]","0.0","0.01"
"Perform actions on TimeSheet of MIS website","Copy timesheet from a week","PENDING","2022-12-16T10:21:11.0255902+05:30[Asia/Calcutta]","0.0","0.02"
"Perform actions on TimeSheet of MIS website","Add a duplicate task template","PENDING","2022-12-16T10:21:11.1818707+05:30[Asia/Calcutta]","0.0","0.02"
"Perform actions on TimeSheet of MIS website","Edit an existing task template","PENDING","2022-12-16T10:21:11.2051896+05:30[Asia/Calcutta]","0.0","0.14"
"Perform actions on TimeSheet of MIS website","Verify rejecting a delete action for a task template","PENDING","2022-12-16T10:21:11.3473908+05:30[Asia/Calcutta]","0.0","0.02"
"Perform actions on TimeSheet of MIS website","Verify the table heads and table data","ERROR","2022-12-22T10:25:05.9669455+05:30[Asia/Calcutta]","0.0","30.64"
"Perform actions on TimeSheet of MIS website","Verify timesheet status","SUCCESS","2022-12-22T10:31:42.1630146+05:30[Asia/Calcutta]","0.0","28.89"
"Perform actions on TimeSheet of MIS website","Add an invalid task template","SUCCESS","2022-12-22T16:59:17.4450885+05:30[Asia/Calcutta]","0.0","281.77"
"Perform actions on TimeSheet of MIS website","Delete and Add a valid task template","SUCCESS","2022-12-22T17:04:54.6609018+05:30[Asia/Calcutta]","0.0","57.28"
