"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > Comp Off tab","SUCCESS","2022-12-29T22:41:13.561145+05:30[Asia/Calcutta]","0.0","84.18"
"MIS Leave Management Activities > Apply","Verify Date and Reason are mandatory fields for Comp Off","SUCCESS","2022-12-29T22:42:37.7881393+05:30[Asia/Calcutta]","0.0","81.44"
"MIS Leave Management Activities > Apply","Select Date from Comp Off Date dropdown","SUCCESS","2022-12-29T22:43:59.2540221+05:30[Asia/Calcutta]","0.0","72.13"
"MIS Leave Management Activities > Apply","Enter Reason for Comp off","SUCCESS","2022-12-29T22:45:11.3916594+05:30[Asia/Calcutta]","0.0","72.51"
"MIS Leave Management Activities > Apply","Enter Data and submit Comp off","SUCCESS","2022-12-29T22:46:23.919257+05:30[Asia/Calcutta]","0.0","81.91"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > LWP Change Request tab","SUCCESS","2022-12-29T22:48:52.5470862+05:30[Asia/Calcutta]","0.0","83.61"
"MIS Leave Management Activities > Apply","Verify Date, Type of leave and Reason fields are mandatory","SUCCESS","2022-12-29T22:50:16.2000263+05:30[Asia/Calcutta]","0.0","81.39"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > Apply tab","SUCCESS","2022-12-29T22:52:26.0922331+05:30[Asia/Calcutta]","0.0","72.59"
"MIS Leave Management Activities > Apply","Verify fields are Auto Populated by default on Leave tab","SUCCESS","2022-12-29T22:53:38.7597611+05:30[Asia/Calcutta]","0.0","62.1"
"MIS Leave Management Activities > Apply","Verify From,Till and Reason fields are mandatory fields for Leave Tab","SUCCESS","2022-12-29T22:54:40.8769865+05:30[Asia/Calcutta]","0.0","80.15"
"MIS Leave Management Activities > Apply","Select From and Till Leave date from Leave Calendar","SUCCESS","2022-12-29T22:56:01.0489634+05:30[Asia/Calcutta]","0.0","87.43"
"MIS Leave Management Activities > Apply","Verify Total Working Days tooltip from Leave Tab","SUCCESS","2022-12-29T22:57:28.4932642+05:30[Asia/Calcutta]","0.0","102.05"
"MIS Leave Management Activities > Apply","Choose leave for half day option from Leave tab","SUCCESS","2022-12-29T22:59:10.5512983+05:30[Asia/Calcutta]","0.0","96.5"
"MIS Leave Management Activities > Apply","Choose leave type","SUCCESS","2022-12-29T23:00:47.0772663+05:30[Asia/Calcutta]","0.0","92.71"
"MIS Leave Management Activities > Apply","Enter reason for leave","SUCCESS","2022-12-29T23:02:19.802518+05:30[Asia/Calcutta]","0.0","87.83"
"MIS Leave Management Activities > Apply","Choose Availability for Leave","SUCCESS","2022-12-29T23:03:47.6544547+05:30[Asia/Calcutta]","0.0","95.26"
"MIS Leave Management Activities > Apply","Enter required data and click on Submit leave","SUCCESS","2022-12-29T23:05:22.9223941+05:30[Asia/Calcutta]","0.0","109.6"
"MIS Leave Management Activities > Apply","Navigate to Leave Management > WFH tab","SUCCESS","2022-12-29T23:13:15.0952431+05:30[Asia/Calcutta]","0.0","77.37"
"MIS Leave Management Activities > Apply","Verify field is Auto Populated by default in WFH tab","SUCCESS","2022-12-29T23:14:32.5107774+05:30[Asia/Calcutta]","0.0","70.2"
"MIS Leave Management Activities > Apply","Verify WFH Date and WFH Reason are mandatory fields","SUCCESS","2022-12-29T23:15:42.731992+05:30[Asia/Calcutta]","0.0","78.92"
